,age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over18,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_workin_gyears,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,same_as_monthly_income,date_birth,salary,role_departament,remote_work
69,34,False,rarely,404.0,,2,4,,,3,F,98,3,2, HeaLthCare repRESeNTaTIVE ,4,Single,6687.0,6163,1,,,0.11,3.0,4,80.0,0,14.0,2,4.0,14,,4,11,6687.0,1989,1000000000.0,nan,
70,35,False,no,208.0, Research & Development ,8,4,,,3,F,52,3,2, HEaLthcaRe rEprEsEnTAtiVe ,3,,,12250,1,,,0.12,3.0,4,80.0,1,,5,3.0,14,,2,9,,1988,1000000000.0,Research & Development,
71,50,False,,813.0,,17,5,Life Sciences,,4,F,50,2,3, ReseArcH diReCtOr ,1,,,21981,5,,False,0.15,3.0,3,,3,,3,3.0,14,11.0,1,11,,1973,1000000000.0,nan,False
72,49,False,,465.0,,6,1,Life Sciences,1661.0,3,F,41,2,4, healthcArE repReSEnTaTive ,3,,,11652,2,,,0.19,3.0,2,80.0,1,,3,3.0,15,,2,12,,1974,1000000000.0,nan,True
73,38,False,frequently,1189.0,,1,3,Life Sciences,1668.0,4,M,90,3,2, reSeARch sCientIst ,4,,4735.0,9867,7,True,False,0.15,3.0,4,80.0,2,19.0,4,,13,,2,9,4735.0,1985,1000000000.0,nan,
74,33,False,,,,21,3,,1698.0,2,M,79,4,1, lAbOrAtory tecHnIciaN ,2,,,13637,1,,False,0.18,3.0,4,,3,14.0,6,,14,,2,13,,1990,1000000000.0,nan,
75,47,False,rarely,1001.0,,4,3,Life Sciences,,3,F,92,2,3, maNufACTURING DIREctOr ,2,Divorced,,19271,8,,True,0.12,,3,,1,,4,3.0,22,,14,10,,1976,1000000000.0,nan,True
76,38,False,,1394.0, Research & Development ,8,3,,1937.0,4,F,58,2,2, rESeArCH sCientIST ,2,Divorced,,18115,1,,,0.16,3.0,3,,1,20.0,3,3.0,20,,0,7,,1985,1000000000.0,Research & Development,False
77,37,False,rarely,161.0,,10,3,Life Sciences,2017.0,3,F,42,4,3, ResEarCh dIReCtOr ,4,,,15471,1,,True,0.25,4.0,1,,1,16.0,2,3.0,16,,6,8,,1986,1000000000.0,nan,True
78,30,False,,288.0,,2,3,,117.0,3,M,99,2,2, hEALtHcare REpREsenTAtiVe ,4,Married,,15830,1,,False,0.19,,1,80.0,3,11.0,3,3.0,11,,10,8,,1993,1000000000.0,nan,True
79,58,False,rarely,682.0,,18,4,,131.0,4,M,37,3,4, saLes ExECutiVE ,3,Single,13872.0,24409,0,,,0.13,3.0,3,,0,38.0,1,2.0,37,,1,8,13872.0,1965,1000000000.0,nan,True
80,34,False,rarely,1354.0,,5,3,,153.0,3,F,45,2,3, mAnagER ,1,Single,,5615,2,,,0.12,3.0,4,80.0,0,14.0,6,3.0,11,,5,8,,1989,1000000000.0,nan,False
81,58,True,rarely,147.0,,23,4,Medical,,4,F,94,3,3, hEaLtHCARE ReprESENTATivE ,4,Married,,3465,1,,,0.12,3.0,4,,1,40.0,3,2.0,40,,15,6,,1965,1000000000.0,nan,True
82,38,False,,119.0,,3,3,Life Sciences,307.0,1,M,76,3,3, Sales exECuTIVE ,3,Divorced,,9647,0,True,,0.12,3.0,3,,2,,6,2.0,16,,5,13,,1985,1000000000.0,nan,True
83,29,False,frequently,1413.0,,1,1,,,2,F,42,3,3, SalEs eXecUTIVe ,4,Married,,6599,1,True,,0.14,3.0,4,,1,11.0,5,3.0,11,,4,1,,1994,1000000000.0,nan,
84,55,False,rarely,452.0,,1,3,Medical,374.0,4,M,81,3,5, manAger ,1,Single,19045.0,18938,0,True,,0.14,3.0,3,,0,37.0,2,3.0,36,,4,13,19045.0,1968,1000000000.0,nan,True
85,41,False,,334.0,,10,4,,,4,M,88,3,4, MAnager ,2,,16015.0,15896,1,,,0.19,3.0,2,,0,,2,3.0,22,,0,4,16015.0,1982,1000000000.0,nan,True
86,39,False,rarely,1132.0, Research & Development ,1,3,,,3,M,48,4,3, healTHCAre rePREseNtATiVE ,4,,9613.0,10942,0,,False,0.17,,1,80.0,3,19.0,5,2.0,18,,3,7,9613.0,1984,1000000000.0,Research & Development,False
87,38,False,,,,15,2,Life Sciences,,3,M,92,2,3, rESEaRCh DirEcToR ,4,,11510.0,15682,0,,,0.14,3.0,2,,1,,3,3.0,11,,2,9,11510.0,1985,1000000000.0,nan,True
88,43,False,,982.0,,12,3,,,1,M,59,2,4, researCH DIrECtoR ,2,,,4345,1,,False,0.11,3.0,3,80.0,1,,3,,25,,3,9,,1980,1000000000.0,nan,
89,31,False,,480.0,,30,2,,524.0,2,F,31,3,2, MaNufactuRINg dIrecTor ,1,Married,4306.0,4156,1,,False,0.12,3.0,2,80.0,1,13.0,5,1.0,13,,3,12,4306.0,1992,1000000000.0,nan,True
90,50,False,rarely,1099.0, Research & Development ,27,4,Life Sciences,569.0,27,M,88,2,4, mANaGer ,3,Marreid,17046.0,9314,0,True,False,0.15,3.0,2,,1,28.0,2,3.0,27,,15,7,17046.0,1973,1000000000.0,Research & Development,
91,35,False,,672.0,,25,3,Technical Degree,899.0,4,M,78,2,3, MaNUFACTuRing dirECTOr ,2,Married,,9129,3,True,False,0.16,,1,,0,,2,3.0,13,,4,8,,1988,1000000000.0,nan,False
92,47,False,,1379.0,,16,4,,,3,M,64,4,2, manufaCtURiNG DirecToR ,3,,5067.0,6759,1,,True,0.19,3.0,3,,0,20.0,3,,19,,2,7,5067.0,1976,1000000000.0,nan,True
93,35,False,,583.0, Research & Development ,25,4,,1014.0,3,F,57,3,3, HEAltHCaRe REPreseNTatIve ,3,Divorced,,6975,1,,True,0.11,,3,,1,,3,2.0,16,,10,1,,1988,1000000000.0,Research & Development,True
94,40,False,rarely,1492.0,,20,4,,,1,M,61,3,3, hEaLtHCaRe reprEsenTaTive ,4,Married,,26542,4,True,,0.2,4.0,4,,1,14.0,6,3.0,11,,11,1,,1983,1000000000.0,nan,True
95,45,False,,1050.0, Sales ,9,4,Life Sciences,1117.0,2,F,65,2,2, SaLeS eXECUTivE ,3,Married,,17970,1,True,,0.13,3.0,4,80.0,1,15.0,2,3.0,15,,4,12,,1978,1000000000.0,Sales,False
96,33,False,,117.0, Research & Development ,9,3,Medical,1238.0,1,M,60,3,1, reSeARCH SCIEnTiST ,4,Married,,6311,0,True,,0.13,3.0,2,,1,15.0,5,3.0,14,,4,10,,1990,1000000000.0,Research & Development,False
97,36,False,frequently,469.0,,3,3,,,3,M,46,3,1, ResEArCH sCIEntisT ,2,Married,3692.0,9256,1,True,False,0.12,3.0,3,,0,12.0,2,2.0,11,,0,7,3692.0,1987,1000000000.0,nan,False
98,45,True,,,,13,3,Marketing,1277.0,1,F,94,1,5, maNAger ,2,,,2493,2,,True,0.16,3.0,1,,0,26.0,2,3.0,24,,1,11,,1978,1000000000.0,nan,
99,51,False,frequently,237.0,,27,3,,,27,M,83,3,5, ManAgeR ,2,,19847.0,19196,4,,True,0.24,,1,,1,,5,2.0,29,,11,10,19847.0,1972,1000000000.0,nan,False
100,34,False,rarely,1440.0,,7,2,Technical Degree,1541.0,2,M,55,3,1, SaLes rEPREsENtAtivE ,3,,2308.0,4944,0,,True,0.25,4.0,2,,1,12.0,4,3.0,11,,5,7,2308.0,1989,1000000000.0,nan,False
101,43,False,rarely,1291.0, Research & Development ,15,2,,1666.0,3,M,65,2,4, ReSearch DiRecTOR ,3,,,3525,1,,False,0.24,4.0,1,,1,,3,3.0,14,,6,11,,1980,1000000000.0,Research & Development,True
102,34,False,,1157.0,,5,2,Medical,1696.0,2,M,57,2,2, LABoRATOry teChnicIan ,4,,,11912,1,True,False,0.14,3.0,3,,1,,3,,15,,4,13,,1989,1000000000.0,nan,False
103,38,False,,1336.0,,2,3,,1805.0,1,M,100,3,1, huMan RESOURcEs ,2,Divorced,,7129,5,,False,0.13,3.0,4,,3,13.0,3,3.0,11,,3,8,,1985,1000000000.0,nan,True
104,48,False,,1224.0,,10,3,,,4,M,91,2,5, ResearcH DiReCtOR ,2,,,13583,4,True,False,0.12,3.0,4,,0,29.0,3,3.0,22,,12,9,,1975,1000000000.0,nan,False
105,34,False,,735.0, Research & Development ,22,4,Other,1932.0,3,M,86,2,2, resEaRCh SciEnTist ,4,Married,5747.0,26496,1,,True,0.15,3.0,2,,0,16.0,3,3.0,15,,6,11,5747.0,1989,1000000000.0,Research & Development,False
106,32,False,rarely,,,31,4,,2016.0,31,F,48,3,3, SAleS eXEcUtIve ,4,,10422.0,24032,1,True,False,0.19,3.0,3,,2,14.0,3,3.0,14,,5,7,10422.0,1991,1000000000.0,nan,True
107,29,False,rarely,1389.0,,21,4,Life Sciences,20.0,2,F,51,4,3, maNufaCturing direcTOr ,1,Divorced,,10195,1,True,False,0.11,3.0,3,,1,10.0,1,3.0,10,,8,8,,1994,1000000000.0,nan,False
108,46,False,,638.0,,1,3,Medical,,3,M,40,2,3, HEalThCare REPreseNTAtive ,1,Married,,3142,2,,True,0.13,3.0,3,,1,21.0,5,2.0,10,,9,5,,1977,1000000000.0,nan,False
109,30,False,,1240.0, Human Resources ,9,3,,184.0,3,M,48,3,2, hUmaN REsoUrCes ,4,Married,6347.0,13982,0,,True,0.19,3.0,4,80.0,0,,2,1.0,11,,4,7,6347.0,1993,1000000000.0,Human Resources,False
110,45,False,,194.0,,9,3,Life Sciences,206.0,2,M,60,3,2, LaboRaTORY TechnICiAn ,2,,2348.0,10901,8,True,False,0.18,3.0,3,,1,20.0,2,,17,,0,15,2348.0,1978,1000000000.0,nan,True
111,30,False,rarely,1339.0,,5,3,,228.0,2,F,41,3,3, SalES ExeCuTIVe ,4,,,8053,2,True,False,0.12,3.0,3,,1,,2,3.0,10,,7,4,,1993,1000000000.0,nan,
112,30,False,,111.0,,9,3,,239.0,3,M,66,3,2, lABOrAtorY tEcHNICian ,1,,3072.0,11012,1,True,False,0.11,,3,80.0,2,12.0,4,3.0,12,,6,10,3072.0,1993,1000000000.0,nan,True
113,34,False,frequently,,,29,1,,256.0,4,M,45,2,2, manUFACTuRiNg dIrECToR ,3,Married,,14074,1,,,0.17,3.0,3,,0,10.0,2,2.0,10,,1,9,,1989,1000000000.0,nan,False
114,51,False,rarely,1469.0,,8,4,Life Sciences,,2,M,81,2,3, RESEArCh dIRECTOR ,2,Married,12490.0,15736,5,,False,0.16,3.0,4,,2,16.0,5,1.0,10,,4,7,12490.0,1972,1000000000.0,nan,False
115,34,False,,470.0,,39,4,Life Sciences,339.0,39,M,84,2,2, MAnufACturiNg dIReCtOR ,1,,,23687,6,,,0.13,3.0,2,,1,13.0,3,3.0,11,,5,9,,1989,1000000000.0,nan,True
116,35,False,rarely,1232.0,,16,3,,406.0,3,M,96,3,3, Sales ExEcUTIvE ,2,Married,8020.0,5100,0,True,,0.15,3.0,3,,2,12.0,3,2.0,11,,6,9,8020.0,1988,1000000000.0,nan,True
117,45,False,frequently,1249.0,,7,3,Life Sciences,,1,M,97,3,3, LaboRaTOrY techNiciaN ,1,,,20308,1,True,,0.18,3.0,1,,1,24.0,2,3.0,24,,9,11,,1978,1000000000.0,nan,True
118,39,False,,117.0,,10,1,,429.0,3,M,99,3,4, ManageR ,1,Married,17068.0,5355,1,,,0.14,,4,,0,21.0,3,3.0,21,,11,10,17068.0,1984,1000000000.0,nan,True
119,31,False,,798.0,,7,2,,,3,F,48,2,3, MANufacTUrinG diREcTor ,3,Married,8943.0,14034,1,,False,0.24,4.0,1,,1,10.0,2,3.0,10,,8,9,8943.0,1992,1000000000.0,nan,False
