,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_current_manager,date_birth,role_departament,remote_work
46,,,,,1,4,,,1,f,30,2,3,healthcare representative,1,single,,25796,3,,0.2,,3,0,23.0,1,2.0,13,,12,8,1972,,
47,,,394.0,,26,2,,,3,m,92,3,4,manager,4,married,16959.0,19494,1,True,0.12,,4,2,25.0,3,4.0,25,,4,12,1980,,
48,,,1372.0,,1,3,life sciences,,4,f,42,3,1,research scientist,4,single,,15881,1,False,0.12,,2,0,,3,3.0,17,,5,7,1986,,
49,,rarely,,,8,2,technical degree,,3,f,65,2,2,sales executive,2,married,,24624,1,True,0.11,,4,0,,2,3.0,13,12.0,11,9,1991,,
50,,,1333.0,,1,3,,,4,f,80,3,3,research director,1,married,,16292,1,,0.13,,2,1,15.0,3,3.0,15,,5,11,1985,,
51,,,228.0,,3,3,life sciences,,3,f,51,3,4,manager,2,,,11380,8,False,0.12,,4,1,23.0,2,4.0,13,,5,1,1977,,
52,,rarely,737.0,,10,3,medical,,4,m,55,2,3,sales executive,1,married,10306.0,21530,9,,0.17,,3,0,15.0,3,,13,,6,0,1988,,
53,,,823.0,,6,3,medical,,1,f,81,2,5,manager,3,married,,22539,7,False,0.13,,4,0,21.0,2,3.0,16,,6,14,1980,,
54,,no,667.0,,1,4,life sciences,,3,m,57,3,2,healthcare representative,3,divorced,,26236,1,False,0.21,,1,1,,2,2.0,13,,1,9,1967,,
55,,no,301.0,,15,4,marketing,,4,m,88,1,2,sales executive,4,divorced,5406.0,10436,1,False,0.24,,1,1,,4,2.0,15,,11,11,1987,,
56,,,573.0,,6,3,medical,,2,f,79,1,2,research scientist,4,,,15717,7,,0.12,,4,3,17.0,3,3.0,13,,1,9,1985,,
57,,,,,26,4,medical,,3,f,96,3,2,manufacturing director,1,,,5549,1,False,0.14,,3,0,16.0,2,2.0,15,,5,11,1974,,
58,,rarely,1329.0,,4,4,life sciences,,4,f,47,2,2,sales executive,3,married,5902.0,14590,4,,0.14,,3,1,17.0,1,4.0,15,,5,9,1984,,
59,,,630.0,,4,4,,,3,m,67,2,3,sales executive,4,married,10855.0,8552,7,False,0.11,,1,1,15.0,2,2.0,12,,2,11,1983,,
60,,,,,5,2,,,4,m,62,3,2,laboratory technician,2,single,5914.0,9945,8,False,0.16,,4,0,16.0,3,4.0,13,,3,7,1987,,
61,,,1063.0,,25,5,,,2,f,72,3,2,research scientist,3,married,,23866,3,True,0.15,,1,2,15.0,2,3.0,13,,10,7,1986,,
62,,,1017.0,,6,4,,,2,m,82,1,2,research scientist,4,,6646.0,19368,1,,0.13,,2,0,,3,3.0,17,,11,8,1988,,
63,,frequently,1296.0,,6,3,life sciences,,3,m,,3,2,healthcare representative,4,divorced,,5335,3,False,0.23,,3,1,15.0,2,1.0,13,,4,7,1990,,
64,,rarely,939.0,research & development,24,3,,,4,m,,3,4,manufacturing director,3,married,13973.0,4161,3,True,0.18,,4,1,22.0,2,3.0,12,,1,5,1973,research & development,
65,,rarely,1355.0,,4,4,,,3,m,78,2,3,healthcare representative,3,single,,22245,7,,0.14,,2,0,27.0,3,3.0,15,11.0,4,8,1975,,
66,,rarely,1448.0,sales,28,3,,,4,f,53,4,4,sales executive,4,married,13320.0,11737,3,,0.18,,3,1,,2,3.0,12,,11,11,1979,sales,
67,,rarely,200.0,,29,4,,,4,m,32,3,2,research scientist,4,single,,7744,1,,0.25,,2,0,,3,3.0,20,,13,17,1979,,
68,,,1202.0,,25,1,,,25,f,89,4,2,healthcare representative,3,,,13888,5,False,0.2,,2,3,15.0,0,3.0,12,,11,8,1983,,
69,,rarely,404.0,,2,4,,,3,f,98,3,2,healthcare representative,4,single,6687.0,6163,1,,0.11,,4,0,14.0,2,4.0,14,,4,11,1989,,
70,,no,208.0,research & development,8,4,,,3,f,52,3,2,healthcare representative,3,,,12250,1,,0.12,,4,1,,5,3.0,14,,2,9,1988,research & development,
71,,,813.0,,17,5,life sciences,,4,f,50,2,3,research director,1,,,21981,5,False,0.15,,3,3,,3,3.0,14,11.0,1,11,1973,,
72,,,465.0,,6,1,life sciences,,3,f,41,2,4,healthcare representative,3,,,11652,2,,0.19,,2,1,,3,3.0,15,,2,12,1974,,
73,,frequently,1189.0,,1,3,life sciences,,4,m,90,3,2,research scientist,4,,4735.0,9867,7,False,0.15,,4,2,19.0,4,,13,,2,9,1985,,
74,,,,,21,3,,,2,m,79,4,1,laboratory technician,2,,,13637,1,False,0.18,,4,3,14.0,6,,14,,2,13,1990,,
75,,rarely,1001.0,,4,3,life sciences,,3,f,92,2,3,manufacturing director,2,divorced,,19271,8,True,0.12,,3,1,,4,3.0,22,,14,10,1976,,
76,,,1394.0,research & development,8,3,,,4,f,58,2,2,research scientist,2,divorced,,18115,1,,0.16,,3,1,20.0,3,3.0,20,,0,7,1985,research & development,
77,,rarely,161.0,,10,3,life sciences,,3,f,42,4,3,research director,4,,,15471,1,True,0.25,,1,1,16.0,2,3.0,16,,6,8,1986,,
78,,,288.0,,2,3,,,3,m,99,2,2,healthcare representative,4,married,,15830,1,False,0.19,,1,3,11.0,3,3.0,11,,10,8,1993,,
79,,rarely,682.0,,18,4,,,4,m,37,3,4,sales executive,3,single,13872.0,24409,0,,0.13,,3,0,38.0,1,2.0,37,,1,8,1965,,
80,,rarely,1354.0,,5,3,,,3,f,45,2,3,manager,1,single,,5615,2,,0.12,,4,0,14.0,6,3.0,11,,5,8,1989,,
81,,rarely,147.0,,23,4,medical,,4,f,94,3,3,healthcare representative,4,married,,3465,1,,0.12,,4,1,40.0,3,2.0,40,,15,6,1965,,
82,,,119.0,,3,3,life sciences,,1,m,76,3,3,sales executive,3,divorced,,9647,0,,0.12,,3,2,,6,2.0,16,,5,13,1985,,
83,,frequently,1413.0,,1,1,,,2,f,42,3,3,sales executive,4,married,,6599,1,,0.14,,4,1,11.0,5,3.0,11,,4,1,1994,,
84,,rarely,452.0,,1,3,medical,,4,m,81,3,5,manager,1,single,19045.0,18938,0,,0.14,,3,0,37.0,2,3.0,36,,4,13,1968,,
85,,,334.0,,10,4,,,4,m,88,3,4,manager,2,,16015.0,15896,1,,0.19,,2,0,,2,3.0,22,,0,4,1982,,
86,,rarely,1132.0,research & development,1,3,,,3,m,48,4,3,healthcare representative,4,,9613.0,10942,0,False,0.17,,1,3,19.0,5,2.0,18,,3,7,1984,research & development,
87,,,,,15,2,life sciences,,3,m,92,2,3,research director,4,,11510.0,15682,0,,0.14,,2,1,,3,3.0,11,,2,9,1985,,
88,,,982.0,,12,3,,,1,m,59,2,4,research director,2,,,4345,1,False,0.11,,3,1,,3,,25,,3,9,1980,,
89,,,480.0,,30,2,,,2,f,31,3,2,manufacturing director,1,married,4306.0,4156,1,False,0.12,,2,1,13.0,5,1.0,13,,3,12,1992,,
90,,rarely,1099.0,research & development,27,4,life sciences,,27,m,88,2,4,manager,3,marreid,17046.0,9314,0,False,0.15,,2,1,28.0,2,3.0,27,,15,7,1973,research & development,
91,,,672.0,,25,3,technical degree,,4,m,78,2,3,manufacturing director,2,married,,9129,3,False,0.16,,1,0,,2,3.0,13,,4,8,1988,,
92,,,1379.0,,16,4,,,3,m,64,4,2,manufacturing director,3,,5067.0,6759,1,True,0.19,,3,0,20.0,3,,19,,2,7,1976,,
93,,,583.0,research & development,25,4,,,3,f,57,3,3,healthcare representative,3,divorced,,6975,1,True,0.11,,3,1,,3,2.0,16,,10,1,1988,research & development,
94,,rarely,1492.0,,20,4,,,1,m,61,3,3,healthcare representative,4,married,,26542,4,,0.2,,4,1,14.0,6,3.0,11,,11,1,1983,,
95,,,1050.0,sales,9,4,life sciences,,2,f,65,2,2,sales executive,3,married,,17970,1,,0.13,,4,1,15.0,2,3.0,15,,4,12,1978,sales,
96,,,117.0,research & development,9,3,medical,,1,m,60,3,1,research scientist,4,married,,6311,0,,0.13,,2,1,15.0,5,3.0,14,,4,10,1990,research & development,
97,,frequently,469.0,,3,3,,,3,m,46,3,1,research scientist,2,married,3692.0,9256,1,False,0.12,,3,0,12.0,2,2.0,11,,0,7,1987,,
98,,,,,13,3,marketing,,1,f,94,1,5,manager,2,,,2493,2,True,0.16,,1,0,26.0,2,3.0,24,,1,11,1978,,
99,,frequently,237.0,,27,3,,,27,m,83,3,5,manager,2,,19847.0,19196,4,True,0.24,,1,1,,5,2.0,29,,11,10,1972,,
100,,rarely,1440.0,,7,2,technical degree,,2,m,55,3,1,sales representative,3,,2308.0,4944,0,True,0.25,,2,1,12.0,4,3.0,11,,5,7,1989,,
101,,rarely,1291.0,research & development,15,2,,,3,m,65,2,4,research director,3,,,3525,1,False,0.24,,1,1,,3,3.0,14,,6,11,1980,research & development,
102,,,1157.0,,5,2,medical,,2,m,57,2,2,laboratory technician,4,,,11912,1,False,0.14,,3,1,,3,,15,,4,13,1989,,
103,,,1336.0,,2,3,,,1,m,100,3,1,human resources,2,divorced,,7129,5,False,0.13,,4,3,13.0,3,3.0,11,,3,8,1985,,
104,,,1224.0,,10,3,,,4,m,91,2,5,research director,2,,,13583,4,False,0.12,,4,0,29.0,3,3.0,22,,12,9,1975,,
105,,,735.0,research & development,22,4,other,,3,m,86,2,2,research scientist,4,married,5747.0,26496,1,True,0.15,,2,0,16.0,3,3.0,15,,6,11,1989,research & development,
106,,rarely,,,31,4,,,31,f,48,3,3,sales executive,4,,10422.0,24032,1,False,0.19,,3,2,14.0,3,3.0,14,,5,7,1991,,
107,,rarely,1389.0,,21,4,life sciences,,2,f,51,4,3,manufacturing director,1,divorced,,10195,1,False,0.11,,3,1,10.0,1,3.0,10,,8,8,1994,,
108,,,638.0,,1,3,medical,,3,m,40,2,3,healthcare representative,1,married,,3142,2,True,0.13,,3,1,21.0,5,2.0,10,,9,5,1977,,
109,,,1240.0,human resources,9,3,,,3,m,48,3,2,human resources,4,married,6347.0,13982,0,True,0.19,,4,0,,2,1.0,11,,4,7,1993,human resources,
110,,,194.0,,9,3,life sciences,,2,m,60,3,2,laboratory technician,2,,2348.0,10901,8,False,0.18,,3,1,20.0,2,,17,,0,15,1978,,
111,,rarely,1339.0,,5,3,,,2,f,41,3,3,sales executive,4,,,8053,2,False,0.12,,3,1,,2,3.0,10,,7,4,1993,,
112,,,111.0,,9,3,,,3,m,66,3,2,laboratory technician,1,,3072.0,11012,1,False,0.11,,3,2,12.0,4,3.0,12,,6,10,1993,,
113,,frequently,,,29,1,,,4,m,45,2,2,manufacturing director,3,married,,14074,1,,0.17,,3,0,10.0,2,2.0,10,,1,9,1989,,
114,,rarely,1469.0,,8,4,life sciences,,2,m,81,2,3,research director,2,married,12490.0,15736,5,False,0.16,,4,2,16.0,5,1.0,10,,4,7,1972,,
115,,,470.0,,39,4,life sciences,,39,m,84,2,2,manufacturing director,1,,,23687,6,,0.13,,2,1,13.0,3,3.0,11,,5,9,1989,,
116,,rarely,1232.0,,16,3,,,3,m,96,3,3,sales executive,2,married,8020.0,5100,0,,0.15,,3,2,12.0,3,2.0,11,,6,9,1988,,
117,,frequently,1249.0,,7,3,life sciences,,1,m,97,3,3,laboratory technician,1,,,20308,1,,0.18,,1,1,24.0,2,3.0,24,,9,11,1978,,
118,,,117.0,,10,1,,,3,m,99,3,4,manager,1,married,17068.0,5355,1,,0.14,,4,0,21.0,3,3.0,21,,11,10,1984,,
119,,,798.0,,7,2,,,3,f,48,2,3,manufacturing director,3,married,8943.0,14034,1,False,0.24,,1,1,10.0,2,3.0,10,,8,9,1992,,
120,,,672.0,research & development,7,2,,,3,m,54,2,5,manager,4,married,19272.0,21141,1,,0.15,,1,1,,2,3.0,21,,13,3,1984,research & development,
121,,rarely,549.0,,8,4,,,4,m,75,3,2,research scientist,4,,,9278,9,False,0.14,,1,2,12.0,3,3.0,10,,9,8,1978,,
122,,rarely,570.0,sales,5,3,marketing,,4,f,30,2,2,sales executive,3,,,5431,1,,0.13,,3,3,10.0,2,3.0,10,,1,2,1993,sales,
123,,,1232.0,,7,4,medical,,3,f,39,3,3,manufacturing director,4,,,25713,1,,0.14,,3,0,11.0,2,2.0,11,,4,10,1992,,
124,,,541.0,,3,4,medical,,1,m,48,2,3,sales executive,4,married,,7246,4,False,0.11,,1,1,16.0,2,3.0,13,,1,12,1987,,
125,,rarely,164.0,,2,2,,,2,m,61,2,3,sales executive,3,married,,3809,1,,0.13,,2,2,10.0,2,3.0,10,,9,0,1987,,
126,,rarely,1117.0,,18,5,,,1,f,83,3,4,manager,2,single,,9873,3,False,0.23,,4,0,37.0,2,3.0,10,,7,7,1968,,
127,,,619.0,,1,3,,,2,m,85,3,2,sales executive,3,,,18659,9,,0.11,,3,0,15.0,2,3.0,11,,6,9,1988,,
128,,rarely,319.0,,24,3,medical,,4,m,56,3,3,manufacturing director,1,married,,6950,1,,0.21,,4,1,10.0,5,2.0,10,,5,8,1981,,
129,,rarely,956.0,,6,2,,,4,m,78,3,2,research scientist,1,divorced,5577.0,22087,3,True,0.12,,2,2,18.0,3,3.0,10,,6,9,1971,,
130,,,1245.0,,18,4,life sciences,,4,m,58,2,5,research director,3,,,2125,1,True,0.17,,3,1,,5,3.0,31,,0,9,1974,,
131,,rarely,1397.0,research & development,1,5,,,2,m,42,3,1,research scientist,4,married,2691.0,7660,1,False,0.12,,4,1,,4,2.0,10,,8,8,1989,research & development,
132,,rarely,527.0,,1,4,other,,4,m,63,3,1,research scientist,4,single,,5207,1,,0.13,,3,0,10.0,2,2.0,10,,7,8,1990,,
133,,,213.0,research & development,7,3,medical,,3,m,49,3,3,research director,3,married,,25995,0,False,0.11,,4,0,,3,4.0,13,,3,7,1990,research & development,
134,,rarely,,,23,4,,,4,f,72,3,4,research director,4,,,20206,6,False,0.18,,3,0,33.0,0,3.0,12,,3,8,1970,,
135,,rarely,527.0,,8,2,other,,1,f,51,3,3,laboratory technician,2,married,7403.0,22477,4,,0.11,,3,1,29.0,3,2.0,26,,1,7,1974,,
136,,,882.0,,21,4,,,21,m,,3,3,sales executive,4,,,6812,6,,0.13,,2,1,,2,3.0,10,,0,8,1988,,
137,,rarely,330.0,,17,1,life sciences,,3,f,65,2,3,healthcare representative,3,married,8823.0,24608,0,,0.18,,1,1,20.0,4,2.0,19,,1,9,1985,,
138,,,406.0,sales,3,1,marketing,,1,m,,3,4,manager,3,married,,15596,3,False,0.12,,4,1,,3,3.0,12,,4,9,1977,sales,
139,,no,217.0,,18,4,,,1,m,78,3,2,manufacturing director,4,single,,23238,2,,0.2,,1,0,18.0,0,3.0,11,,0,9,1987,,
140,,frequently,481.0,,15,3,life sciences,,15,m,44,3,4,sales executive,1,single,,2447,0,,0.12,,2,0,,2,2.0,21,,13,14,1981,,
141,,frequently,669.0,,1,3,,,4,m,97,2,2,healthcare representative,1,single,,25755,0,False,0.2,,3,0,14.0,3,3.0,13,,4,9,1989,,
142,,rarely,1465.0,research & development,1,3,medical,,4,m,63,3,1,research scientist,2,,3579.0,9369,0,True,0.21,,1,1,12.0,2,3.0,11,,5,7,1993,research & development,
143,,rarely,685.0,,3,3,life sciences,,4,m,85,3,4,research director,4,married,17779.0,23474,3,False,0.14,,1,0,36.0,2,3.0,10,,0,9,1969,,
144,,rarely,1062.0,,24,3,medical,,3,f,96,2,2,healthcare representative,1,single,,17198,1,False,0.19,,2,0,10.0,2,3.0,10,,1,8,1992,,
145,,,1099.0,,5,3,,,2,m,88,3,5,manager,2,married,18213.0,8751,7,False,0.11,,3,1,26.0,5,3.0,22,,3,10,1979,,
146,,no,177.0,,8,1,,,4,m,37,2,4,healthcare representative,2,divorced,13577.0,25592,1,True,0.15,,4,1,,3,3.0,33,,15,0,1968,,
147,,rarely,1199.0,,4,2,life sciences,,3,m,92,4,5,manager,1,divorced,19190.0,17477,1,False,0.14,,4,2,,4,2.0,25,,14,13,1979,,
148,,frequently,648.0,human resources,11,3,life sciences,,3,m,56,2,2,human resources,2,,,21833,4,False,0.11,,4,2,14.0,5,4.0,10,,1,8,1989,human resources,
149,,,412.0,,13,4,,,3,f,94,2,4,manager,2,divorced,17123.0,17334,6,True,0.13,,4,2,,4,3.0,19,,15,2,1984,,
150,,rarely,282.0,,2,2,medical,,4,f,58,1,5,manager,3,,19187.0,6992,4,,0.14,,4,1,23.0,5,3.0,19,,9,11,1968,,
151,,,770.0,,5,3,life sciences,,3,m,84,3,4,manager,2,,,17588,1,,0.11,,2,1,,2,3.0,33,,0,10,1972,,
152,,,601.0,,14,4,medical,,14,f,53,2,3,manufacturing director,1,marreid,10008.0,12023,7,,0.14,,4,0,,0,2.0,10,,5,9,1965,,
153,,,855.0,,4,3,life sciences,,4,m,54,3,3,manufacturing director,4,single,,18706,1,False,0.11,,3,0,11.0,2,3.0,10,,0,8,1975,,
154,,rarely,332.0,human resources,17,3,,,2,m,51,2,3,human resources,1,single,7988.0,9769,1,,0.13,,1,0,,3,2.0,10,,0,9,1994,human resources,
155,,,1326.0,,3,3,other,,4,m,81,1,2,sales executive,1,single,,15891,3,False,0.18,,4,0,15.0,2,3.0,13,,3,12,1989,,
156,,frequently,748.0,,9,2,,,1,f,74,3,1,laboratory technician,4,,,16458,1,,0.13,,3,0,12.0,3,3.0,12,,5,8,1981,,
157,,rarely,405.0,,1,2,life sciences,,2,m,93,4,2,research scientist,3,married,,2721,0,False,0.24,,1,1,13.0,2,2.0,12,,2,8,1966,,
158,,rarely,790.0,,24,4,,,1,f,40,2,2,sales executive,2,single,,7815,0,True,0.23,,3,0,16.0,2,4.0,15,,10,10,1989,,
159,,frequently,1050.0,,11,4,medical,,2,f,87,3,4,manager,4,,,24456,3,False,0.2,,1,1,26.0,2,3.0,14,,1,12,1969,,
160,,rarely,971.0,,1,3,,,4,m,64,2,3,sales executive,3,,7083.0,12288,1,,0.14,,4,0,,3,3.0,10,,8,6,1989,,
161,,,1370.0,,3,1,medical,,2,m,87,3,1,laboratory technician,1,single,4723.0,16213,1,,0.18,,4,0,,3,,10,,1,5,1994,,
162,,rarely,750.0,,28,3,life sciences,,2,m,46,4,2,laboratory technician,3,,3407.0,25348,1,,0.17,,4,2,,3,2.0,10,,6,8,1988,,
163,,,880.0,,12,4,other,,4,m,36,3,2,sales executive,4,,,10414,3,,0.24,,1,0,13.0,2,4.0,11,,6,7,1988,,
164,,rarely,678.0,,19,3,life sciences,,2,f,35,2,1,research scientist,4,married,2929.0,20338,1,False,0.12,,2,0,10.0,3,3.0,10,,8,7,1989,,
165,,,1179.0,,2,3,,,4,m,73,3,2,sales executive,4,,,6069,1,True,0.17,,1,1,10.0,3,3.0,10,,8,8,1980,,
166,,no,350.0,,2,3,medical,,2,m,52,3,4,manager,2,divorced,,22577,4,False,0.22,,4,1,37.0,0,2.0,16,,14,14,1965,,
167,,rarely,1266.0,sales,14,4,,,14,f,63,2,2,sales executive,3,marreid,,6060,1,True,0.13,,1,1,10.0,4,3.0,10,,1,7,1987,sales,
168,,rarely,574.0,,11,3,life sciences,,1,m,30,3,3,healthcare representative,3,married,,16873,1,,0.17,,2,1,10.0,1,3.0,10,,0,9,1980,,
169,,,189.0,,26,4,human resources,,3,m,71,4,5,manager,2,married,,25811,4,True,0.18,,1,1,35.0,0,3.0,10,,1,4,1968,,
170,,,,research & development,23,2,,,4,m,37,2,2,research scientist,3,single,,14811,1,,0.12,,4,0,20.0,2,3.0,20,,3,7,1981,research & development,
171,,,692.0,,11,3,technical degree,,4,f,73,3,2,laboratory technician,3,married,,26849,1,,0.11,,1,1,10.0,2,4.0,10,,9,4,1983,,
172,,,310.0,research & development,7,2,technical degree,,4,m,72,3,1,laboratory technician,3,married,,3666,8,False,0.11,,4,1,14.0,4,1.0,10,,9,8,1967,research & development,
173,,rarely,722.0,,33,1,marketing,,33,f,60,2,4,sales executive,4,,12031.0,8828,0,,0.11,,1,1,,2,2.0,20,,9,6,1984,,
174,,rarely,1219.0,,2,4,life sciences,,1,f,78,2,4,manager,4,married,15427.0,22021,2,False,0.16,,3,0,,3,3.0,25,,3,7,1970,,
