,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_current_manager,date_birth,remote_work,grupo
12,False,,201.0,,10,3,medical,,2.0,f,99.0,1,3,research director,3,married,13206.0,3376,3,False,0.12,3.0,1,1,,3,3.0,18,1,11,1985,True,control
13,True,rarely,1360.0,,12,3,,58.0,2.0,f,49.0,3,5,research director,3,married,19545.0,16280,1,False,0.12,3.0,4,0,,0,3.0,22,15,8,1982,False,control
14,False,,692.0,,14,4,medical,,3.0,m,61.0,4,5,research director,2,single,,13339,8,False,0.11,3.0,4,0,,3,3.0,24,2,15,1968,,variante
15,False,rarely,1398.0,,2,4,,558.0,3.0,f,79.0,3,5,manager,3,,18041.0,13022,0,False,0.14,3.0,4,0,,2,3.0,20,1,12,1983,False,control
16,True,rarely,286.0,,2,4,,825.0,4.0,m,31.0,3,5,research director,2,single,19246.0,25761,7,True,0.12,3.0,4,0,40.0,2,3.0,31,13,8,1965,False,variante
17,False,rarely,1402.0,,2,3,,,3.0,f,69.0,3,4,manager,1,,,24097,8,,0.23,4.0,1,0,28.0,2,3.0,26,15,9,1977,False,variante
18,False,,819.0,,13,5,life sciences,,2.0,m,48.0,4,2,research scientist,1,married,,26312,1,,0.11,3.0,4,0,,2,3.0,16,1,10,1988,False,variante
19,False,rarely,884.0,,15,3,life sciences,,1.0,f,80.0,2,3,manufacturing director,3,,,25800,1,,0.13,3.0,4,2,18.0,2,,18,14,12,1983,,control
20,False,no,1238.0,research & development,1,1,,1712.0,3.0,m,74.0,2,3,healthcare representative,3,,10748.0,3395,3,,0.23,4.0,4,1,25.0,3,2.0,23,14,4,1978,False,control
21,False,,515.0,,1,2,life sciences,73.0,1.0,f,98.0,3,3,research director,4,single,,15146,1,True,0.12,3.0,3,0,15.0,1,3.0,15,8,12,1990,,control
22,False,,1223.0,,8,3,,,3.0,f,59.0,3,3,healthcare representative,3,divorced,,8202,1,,0.13,,2,3,17.0,2,3.0,17,12,8,1987,True,control
23,False,,202.0,,2,2,other,820.0,3.0,f,33.0,3,4,manager,4,married,16752.0,12982,1,,0.11,3.0,3,1,,3,2.0,26,3,0,1976,False,control
24,False,rarely,928.0,,42,2,life sciences,,,m,56.0,3,2,sales executive,4,,6201.0,2823,1,,0.14,3.0,4,1,18.0,1,,18,4,11,1987,,control
25,False,,607.0,,9,3,life sciences,,4.0,f,66.0,2,3,manufacturing director,3,married,,23457,1,True,0.2,4.0,2,1,17.0,2,3.0,17,5,15,1988,False,control
26,True,,266.0,,2,1,,,1.0,f,57.0,1,5,manager,4,married,19845.0,25846,1,False,0.15,3.0,4,1,33.0,3,3.0,32,6,9,1971,True,control
27,False,,429.0,,2,4,life sciences,1294.0,3.0,f,53.0,3,2,manufacturing director,2,single,,2323,9,True,0.11,3.0,4,0,18.0,2,3.0,16,5,12,1987,False,variante
28,False,rarely,589.0,,28,4,life sciences,,2.0,m,79.0,3,2,laboratory technician,3,married,,22949,1,,0.12,3.0,2,1,15.0,3,3.0,15,5,7,1990,True,control
29,False,no,,sales,10,3,life sciences,1774.0,4.0,m,87.0,3,2,sales executive,3,,4001.0,12313,1,True,0.14,3.0,3,1,15.0,3,3.0,15,0,7,1989,True,control
30,False,,,sales,37,1,,1815.0,,f,81.0,3,3,sales executive,3,divorced,10447.0,26458,0,,0.13,3.0,4,1,,3,4.0,22,13,5,1982,True,control
31,False,,1180.0,research & development,25,3,medical,1993.0,1.0,m,84.0,3,3,healthcare representative,3,,,13084,2,,0.23,4.0,2,0,25.0,3,3.0,17,12,11,1976,True,control
32,False,rarely,1282.0,,5,3,,32.0,3.0,f,58.0,3,5,manager,3,,,10735,4,,0.11,3.0,4,1,26.0,3,2.0,14,4,8,1970,True,control
33,False,,776.0,,1,4,marketing,100.0,3.0,m,32.0,2,2,sales executive,1,single,,23016,0,False,0.14,,2,0,16.0,2,3.0,15,2,8,1988,False,variante
34,False,rarely,665.0,,6,4,other,,1.0,f,41.0,3,2,research scientist,3,single,,12482,1,,0.14,3.0,3,0,16.0,3,3.0,16,2,10,1989,,control
35,False,rarely,526.0,,1,2,,244.0,2.0,f,92.0,3,3,sales executive,1,divorced,,2137,1,False,0.25,4.0,3,3,24.0,2,3.0,24,15,7,1977,True,variante
36,False,,1034.0,,16,3,,327.0,4.0,f,80.0,3,4,manager,4,married,16064.0,7744,5,,0.22,4.0,3,1,22.0,3,3.0,17,1,9,1980,True,control
37,False,,1403.0,research & development,6,3,life sciences,373.0,4.0,m,47.0,3,1,laboratory technician,4,married,3210.0,20251,0,,0.11,3.0,3,1,16.0,4,3.0,15,10,11,1987,,control
38,False,frequently,1499.0,,28,3,,,3.0,f,80.0,2,3,sales executive,1,married,10266.0,2845,4,False,0.19,3.0,4,0,22.0,5,4.0,18,13,11,1963,True,variante
39,False,frequently,580.0,,5,4,,729.0,4.0,m,48.0,2,3,sales executive,1,married,10475.0,23772,5,True,0.21,4.0,3,1,20.0,2,3.0,18,1,12,1983,False,variante
40,False,rarely,859.0,,4,3,,830.0,3.0,f,98.0,2,2,manufacturing director,3,married,6162.0,19124,1,False,0.12,3.0,3,1,14.0,3,3.0,14,6,8,1991,False,control
41,False,rarely,263.0,,35,3,,,,m,59.0,3,1,laboratory technician,1,single,4721.0,3119,2,True,0.13,,3,0,20.0,3,3.0,18,2,17,1982,True,variante
42,False,,1376.0,,2,2,medical,981.0,3.0,m,,3,4,manager,3,divorced,,13938,6,False,0.13,3.0,3,1,22.0,3,4.0,17,15,2,1970,False,control
43,True,rarely,885.0,,16,4,,1042.0,3.0,f,43.0,4,1,laboratory technician,1,single,,8269,1,,0.16,3.0,3,0,18.0,1,3.0,17,15,14,1987,True,variante
44,False,,1003.0,,8,4,life sciences,1080.0,4.0,f,74.0,2,2,research scientist,1,divorced,4615.0,21029,8,True,0.23,4.0,1,3,,2,3.0,16,1,7,1977,False,variante
45,False,rarely,1321.0,,1,4,,1995.0,4.0,m,86.0,3,2,sales executive,2,married,,7636,0,False,0.15,3.0,1,2,16.0,3,,15,5,8,1985,True,variante
46,False,,,,1,4,,145.0,1.0,f,30.0,2,3,healthcare representative,1,single,,25796,3,,0.2,4.0,3,0,23.0,1,2.0,13,12,8,1972,,variante
47,False,,394.0,,26,2,,158.0,3.0,m,92.0,3,4,manager,4,married,16959.0,19494,1,True,0.12,3.0,4,2,25.0,3,4.0,25,4,12,1980,True,control
48,False,,1372.0,,1,3,life sciences,391.0,4.0,f,42.0,3,1,research scientist,4,single,,15881,1,False,0.12,3.0,2,0,,3,3.0,17,5,7,1986,True,control
49,False,rarely,,,8,2,technical degree,436.0,3.0,f,65.0,2,2,sales executive,2,married,,24624,1,True,0.11,3.0,4,0,,2,3.0,13,11,9,1991,,variante
50,False,,1333.0,,1,3,,,4.0,f,80.0,3,3,research director,1,married,,16292,1,,0.13,3.0,2,1,15.0,3,3.0,15,5,11,1985,False,variante
51,False,,228.0,,3,3,life sciences,1527.0,3.0,f,51.0,3,4,manager,2,,,11380,8,False,0.12,3.0,4,1,23.0,2,4.0,13,5,1,1977,True,variante
52,True,rarely,737.0,,10,3,medical,,4.0,m,55.0,2,3,sales executive,1,married,10306.0,21530,9,,0.17,3.0,3,0,15.0,3,,13,6,0,1988,False,variante
53,False,,823.0,,6,3,medical,1866.0,1.0,f,81.0,2,5,manager,3,married,,22539,7,False,0.13,3.0,4,0,21.0,2,3.0,16,6,14,1980,True,control
54,False,no,667.0,,1,4,life sciences,2026.0,3.0,m,57.0,3,2,healthcare representative,3,divorced,,26236,1,False,0.21,,1,1,,2,2.0,13,1,9,1967,True,control
55,False,no,301.0,,15,4,marketing,,4.0,m,88.0,1,2,sales executive,4,divorced,5406.0,10436,1,False,0.24,4.0,1,1,,4,2.0,15,11,11,1987,True,control
56,False,,573.0,,6,3,medical,107.0,2.0,f,79.0,1,2,research scientist,4,,,15717,7,,0.12,3.0,4,3,17.0,3,3.0,13,1,9,1985,True,control
57,False,,,,26,4,medical,170.0,3.0,f,96.0,3,2,manufacturing director,1,,,5549,1,False,0.14,3.0,3,0,16.0,2,2.0,15,5,11,1974,False,variante
58,False,rarely,1329.0,,4,4,life sciences,,4.0,f,47.0,2,2,sales executive,3,married,5902.0,14590,4,,0.14,3.0,3,1,17.0,1,4.0,15,5,9,1984,True,control
59,False,,630.0,,4,4,,215.0,3.0,m,67.0,2,3,sales executive,4,married,10855.0,8552,7,False,0.11,,1,1,15.0,2,2.0,12,2,11,1983,True,control
60,False,,,,5,2,,304.0,4.0,m,62.0,3,2,laboratory technician,2,single,5914.0,9945,8,False,0.16,3.0,4,0,16.0,3,4.0,13,3,7,1987,True,variante
61,False,,1063.0,,25,5,,529.0,2.0,f,72.0,3,2,research scientist,3,married,,23866,3,True,0.15,3.0,1,2,15.0,2,3.0,13,10,7,1986,False,control
62,False,,1017.0,,6,4,,691.0,2.0,m,82.0,1,2,research scientist,4,,6646.0,19368,1,,0.13,3.0,2,0,,3,3.0,17,11,8,1988,True,control
63,False,frequently,1296.0,,6,3,life sciences,692.0,3.0,m,,3,2,healthcare representative,4,divorced,,5335,3,False,0.23,4.0,3,1,15.0,2,1.0,13,4,7,1990,False,control
64,False,rarely,939.0,research & development,24,3,,1005.0,4.0,m,,3,4,manufacturing director,3,married,13973.0,4161,3,True,0.18,3.0,4,1,22.0,2,3.0,12,1,5,1973,False,control
65,False,rarely,1355.0,,4,4,,1024.0,3.0,m,78.0,2,3,healthcare representative,3,single,,22245,7,,0.14,,2,0,27.0,3,3.0,15,4,8,1975,True,control
66,False,rarely,1448.0,sales,28,3,,1039.0,4.0,f,53.0,4,4,sales executive,4,married,13320.0,11737,3,,0.18,3.0,3,1,,2,3.0,12,11,11,1979,True,control
67,False,rarely,200.0,,29,4,,1225.0,4.0,m,32.0,3,2,research scientist,4,single,,7744,1,,0.25,4.0,2,0,,3,3.0,20,13,17,1979,True,control
68,False,,1202.0,,25,1,,1375.0,,f,89.0,4,2,healthcare representative,3,,,13888,5,False,0.2,4.0,2,3,15.0,0,3.0,12,11,8,1983,,control
69,False,rarely,404.0,,2,4,,,3.0,f,98.0,3,2,healthcare representative,4,single,6687.0,6163,1,,0.11,3.0,4,0,14.0,2,4.0,14,4,11,1989,,control
70,False,no,208.0,research & development,8,4,,,3.0,f,52.0,3,2,healthcare representative,3,,,12250,1,,0.12,3.0,4,1,,5,3.0,14,2,9,1988,,control
71,False,,813.0,,17,5,life sciences,,4.0,f,50.0,2,3,research director,1,,,21981,5,False,0.15,3.0,3,3,,3,3.0,14,1,11,1973,False,variante
72,False,,465.0,,6,1,life sciences,1661.0,3.0,f,41.0,2,4,healthcare representative,3,,,11652,2,,0.19,3.0,2,1,,3,3.0,15,2,12,1974,True,control
73,False,frequently,1189.0,,1,3,life sciences,1668.0,4.0,m,90.0,3,2,research scientist,4,,4735.0,9867,7,False,0.15,3.0,4,2,19.0,4,,13,2,9,1985,,control
74,False,,,,21,3,,1698.0,2.0,m,79.0,4,1,laboratory technician,2,,,13637,1,False,0.18,3.0,4,3,14.0,6,,14,2,13,1990,,variante
75,False,rarely,1001.0,,4,3,life sciences,,3.0,f,92.0,2,3,manufacturing director,2,divorced,,19271,8,True,0.12,,3,1,,4,3.0,22,14,10,1976,True,variante
76,False,,1394.0,research & development,8,3,,1937.0,4.0,f,58.0,2,2,research scientist,2,divorced,,18115,1,,0.16,3.0,3,1,20.0,3,3.0,20,0,7,1985,False,variante
77,False,rarely,161.0,,10,3,life sciences,2017.0,3.0,f,42.0,4,3,research director,4,,,15471,1,True,0.25,4.0,1,1,16.0,2,3.0,16,6,8,1986,True,control
78,False,,288.0,,2,3,,117.0,3.0,m,99.0,2,2,healthcare representative,4,married,,15830,1,False,0.19,,1,3,11.0,3,3.0,11,10,8,1993,True,control
79,False,rarely,682.0,,18,4,,131.0,4.0,m,37.0,3,4,sales executive,3,single,13872.0,24409,0,,0.13,3.0,3,0,38.0,1,2.0,37,1,8,1965,True,control
80,False,rarely,1354.0,,5,3,,153.0,3.0,f,45.0,2,3,manager,1,single,,5615,2,,0.12,3.0,4,0,14.0,6,3.0,11,5,8,1989,False,variante
81,True,rarely,147.0,,23,4,medical,,4.0,f,94.0,3,3,healthcare representative,4,married,,3465,1,,0.12,3.0,4,1,40.0,3,2.0,40,15,6,1965,True,control
82,False,,119.0,,3,3,life sciences,307.0,1.0,m,76.0,3,3,sales executive,3,divorced,,9647,0,,0.12,3.0,3,2,,6,2.0,16,5,13,1985,True,control
83,False,frequently,1413.0,,1,1,,,2.0,f,42.0,3,3,sales executive,4,married,,6599,1,,0.14,3.0,4,1,11.0,5,3.0,11,4,1,1994,,control
84,False,rarely,452.0,,1,3,medical,374.0,4.0,m,81.0,3,5,manager,1,single,19045.0,18938,0,,0.14,3.0,3,0,37.0,2,3.0,36,4,13,1968,True,variante
85,False,,334.0,,10,4,,,4.0,m,88.0,3,4,manager,2,,16015.0,15896,1,,0.19,3.0,2,0,,2,3.0,22,0,4,1982,True,variante
86,False,rarely,1132.0,research & development,1,3,,,3.0,m,48.0,4,3,healthcare representative,4,,9613.0,10942,0,False,0.17,,1,3,19.0,5,2.0,18,3,7,1984,False,control
87,False,,,,15,2,life sciences,,3.0,m,92.0,2,3,research director,4,,11510.0,15682,0,,0.14,3.0,2,1,,3,3.0,11,2,9,1985,True,control
88,False,,982.0,,12,3,,,1.0,m,59.0,2,4,research director,2,,,4345,1,False,0.11,3.0,3,1,,3,,25,3,9,1980,,variante
89,False,,480.0,,30,2,,524.0,2.0,f,31.0,3,2,manufacturing director,1,married,4306.0,4156,1,False,0.12,3.0,2,1,13.0,5,1.0,13,3,12,1992,True,variante
90,False,rarely,1099.0,research & development,27,4,life sciences,569.0,,m,88.0,2,4,manager,3,married,17046.0,9314,0,False,0.15,3.0,2,1,28.0,2,3.0,27,15,7,1973,,control
91,False,,672.0,,25,3,technical degree,899.0,4.0,m,78.0,2,3,manufacturing director,2,married,,9129,3,False,0.16,,1,0,,2,3.0,13,4,8,1988,False,variante
92,False,,1379.0,,16,4,,,3.0,m,64.0,4,2,manufacturing director,3,,5067.0,6759,1,True,0.19,3.0,3,0,20.0,3,,19,2,7,1976,True,control
93,False,,583.0,research & development,25,4,,1014.0,3.0,f,57.0,3,3,healthcare representative,3,divorced,,6975,1,True,0.11,,3,1,,3,2.0,16,10,1,1988,True,control
94,False,rarely,1492.0,,20,4,,,1.0,m,61.0,3,3,healthcare representative,4,married,,26542,4,,0.2,4.0,4,1,14.0,6,3.0,11,11,1,1983,True,control
95,False,,1050.0,sales,9,4,life sciences,1117.0,2.0,f,65.0,2,2,sales executive,3,married,,17970,1,,0.13,3.0,4,1,15.0,2,3.0,15,4,12,1978,False,control
96,False,,117.0,research & development,9,3,medical,1238.0,1.0,m,60.0,3,1,research scientist,4,married,,6311,0,,0.13,3.0,2,1,15.0,5,3.0,14,4,10,1990,False,control
97,False,frequently,469.0,,3,3,,,3.0,m,46.0,3,1,research scientist,2,married,3692.0,9256,1,False,0.12,3.0,3,0,12.0,2,2.0,11,0,7,1987,False,variante
98,True,,,,13,3,marketing,1277.0,1.0,f,94.0,1,5,manager,2,,,2493,2,True,0.16,3.0,1,0,26.0,2,3.0,24,1,11,1978,,variante
99,False,frequently,237.0,,27,3,,,,m,83.0,3,5,manager,2,,19847.0,19196,4,True,0.24,,1,1,,5,2.0,29,11,10,1972,False,variante
100,False,rarely,1440.0,,7,2,technical degree,1541.0,2.0,m,55.0,3,1,sales representative,3,,2308.0,4944,0,True,0.25,4.0,2,1,12.0,4,3.0,11,5,7,1989,False,control
101,False,rarely,1291.0,research & development,15,2,,1666.0,3.0,m,65.0,2,4,research director,3,,,3525,1,False,0.24,4.0,1,1,,3,3.0,14,6,11,1980,True,control
102,False,,1157.0,,5,2,medical,1696.0,2.0,m,57.0,2,2,laboratory technician,4,,,11912,1,False,0.14,3.0,3,1,,3,,15,4,13,1989,False,control
103,False,,1336.0,,2,3,,1805.0,1.0,m,100.0,3,1,human resources,2,divorced,,7129,5,False,0.13,3.0,4,3,13.0,3,3.0,11,3,8,1985,True,variante
104,False,,1224.0,,10,3,,,4.0,m,91.0,2,5,research director,2,,,13583,4,False,0.12,3.0,4,0,29.0,3,3.0,22,12,9,1975,False,variante
105,False,,735.0,research & development,22,4,other,1932.0,3.0,m,86.0,2,2,research scientist,4,married,5747.0,26496,1,True,0.15,3.0,2,0,16.0,3,3.0,15,6,11,1989,False,control
106,False,rarely,,,31,4,,2016.0,,f,48.0,3,3,sales executive,4,,10422.0,24032,1,False,0.19,3.0,3,2,14.0,3,3.0,14,5,7,1991,True,control
107,False,rarely,1389.0,,21,4,life sciences,20.0,2.0,f,51.0,4,3,manufacturing director,1,divorced,,10195,1,False,0.11,3.0,3,1,10.0,1,3.0,10,8,8,1994,False,variante
108,False,,638.0,,1,3,medical,,3.0,m,40.0,2,3,healthcare representative,1,married,,3142,2,True,0.13,3.0,3,1,21.0,5,2.0,10,9,5,1977,False,variante
109,False,,1240.0,human resources,9,3,,184.0,3.0,m,48.0,3,2,human resources,4,married,6347.0,13982,0,True,0.19,3.0,4,0,,2,1.0,11,4,7,1993,False,control
110,False,,194.0,,9,3,life sciences,206.0,2.0,m,60.0,3,2,laboratory technician,2,,2348.0,10901,8,False,0.18,3.0,3,1,20.0,2,,17,0,15,1978,True,variante
111,False,rarely,1339.0,,5,3,,228.0,2.0,f,41.0,3,3,sales executive,4,,,8053,2,False,0.12,3.0,3,1,,2,3.0,10,7,4,1993,,control
112,False,,111.0,,9,3,,239.0,3.0,m,66.0,3,2,laboratory technician,1,,3072.0,11012,1,False,0.11,,3,2,12.0,4,3.0,12,6,10,1993,True,variante
113,False,frequently,,,29,1,,256.0,4.0,m,45.0,2,2,manufacturing director,3,married,,14074,1,,0.17,3.0,3,0,10.0,2,2.0,10,1,9,1989,False,control
114,False,rarely,1469.0,,8,4,life sciences,,2.0,m,81.0,2,3,research director,2,married,12490.0,15736,5,False,0.16,3.0,4,2,16.0,5,1.0,10,4,7,1972,False,variante
115,False,,470.0,,39,4,life sciences,339.0,,m,84.0,2,2,manufacturing director,1,,,23687,6,,0.13,3.0,2,1,13.0,3,3.0,11,5,9,1989,True,variante
116,False,rarely,1232.0,,16,3,,406.0,3.0,m,96.0,3,3,sales executive,2,married,8020.0,5100,0,,0.15,3.0,3,2,12.0,3,2.0,11,6,9,1988,True,variante
117,False,frequently,1249.0,,7,3,life sciences,,1.0,m,97.0,3,3,laboratory technician,1,,,20308,1,,0.18,3.0,1,1,24.0,2,3.0,24,9,11,1978,True,variante
118,False,,117.0,,10,1,,429.0,3.0,m,99.0,3,4,manager,1,married,17068.0,5355,1,,0.14,,4,0,21.0,3,3.0,21,11,10,1984,True,variante
119,False,,798.0,,7,2,,,3.0,f,48.0,2,3,manufacturing director,3,married,8943.0,14034,1,False,0.24,4.0,1,1,10.0,2,3.0,10,8,9,1992,False,control
120,False,,672.0,research & development,7,2,,444.0,3.0,m,54.0,2,5,manager,4,married,19272.0,21141,1,,0.15,3.0,1,1,,2,3.0,21,13,3,1984,,control
121,False,rarely,549.0,,8,4,,452.0,4.0,m,75.0,3,2,research scientist,4,,,9278,9,False,0.14,3.0,1,2,12.0,3,3.0,10,9,8,1978,,control
122,False,rarely,570.0,sales,5,3,marketing,456.0,4.0,f,30.0,2,2,sales executive,3,,,5431,1,,0.13,3.0,3,3,10.0,2,3.0,10,1,2,1993,True,control
123,False,,1232.0,,7,4,medical,,3.0,f,39.0,3,3,manufacturing director,4,,,25713,1,,0.14,3.0,3,0,11.0,2,2.0,11,4,10,1992,False,control
124,False,,541.0,,3,4,medical,481.0,1.0,m,48.0,2,3,sales executive,4,married,,7246,4,False,0.11,3.0,1,1,16.0,2,3.0,13,1,12,1987,,control
125,False,rarely,164.0,,2,2,,513.0,2.0,m,61.0,2,3,sales executive,3,married,,3809,1,,0.13,3.0,2,2,10.0,2,3.0,10,9,0,1987,,control
126,False,rarely,1117.0,,18,5,,597.0,1.0,f,83.0,3,4,manager,2,single,,9873,3,False,0.23,4.0,4,0,37.0,2,3.0,10,7,7,1968,True,variante
127,False,,619.0,,1,3,,600.0,2.0,m,85.0,3,2,sales executive,3,,,18659,9,,0.11,3.0,3,0,15.0,2,3.0,11,6,9,1988,True,control
128,False,rarely,319.0,,24,3,medical,,4.0,m,56.0,3,3,manufacturing director,1,married,,6950,1,,0.21,4.0,4,1,10.0,5,2.0,10,5,8,1981,False,variante
129,False,rarely,956.0,,6,2,,630.0,4.0,m,78.0,3,2,research scientist,1,divorced,5577.0,22087,3,True,0.12,,2,2,18.0,3,3.0,10,6,9,1971,True,variante
130,False,,1245.0,,18,4,life sciences,638.0,4.0,m,58.0,2,5,research director,3,,,2125,1,True,0.17,3.0,3,1,,5,3.0,31,0,9,1974,True,control
131,False,rarely,1397.0,research & development,1,5,,683.0,2.0,m,42.0,3,1,research scientist,4,married,2691.0,7660,1,False,0.12,3.0,4,1,,4,2.0,10,8,8,1989,True,control
132,True,rarely,527.0,,1,4,other,780.0,4.0,m,63.0,3,1,research scientist,4,single,,5207,1,,0.13,3.0,3,0,10.0,2,2.0,10,7,8,1990,False,control
133,False,,213.0,research & development,7,3,medical,817.0,3.0,m,49.0,3,3,research director,3,married,,25995,0,False,0.11,3.0,4,0,,3,4.0,13,3,7,1990,,control
134,False,rarely,,,23,4,,901.0,4.0,f,72.0,3,4,research director,4,,,20206,6,False,0.18,3.0,3,0,33.0,0,3.0,12,3,8,1970,True,control
135,False,rarely,527.0,,8,2,other,944.0,1.0,f,51.0,3,3,laboratory technician,2,married,7403.0,22477,4,,0.11,3.0,3,1,29.0,3,2.0,26,1,7,1974,False,variante
136,False,,882.0,,21,4,,984.0,,m,,3,3,sales executive,4,,,6812,6,,0.13,3.0,2,1,,2,3.0,10,0,8,1988,False,control
137,False,rarely,330.0,,17,1,life sciences,1088.0,3.0,f,65.0,2,3,healthcare representative,3,married,8823.0,24608,0,,0.18,3.0,1,1,20.0,4,2.0,19,1,9,1985,False,control
138,False,,406.0,sales,3,1,marketing,1124.0,1.0,m,,3,4,manager,3,married,,15596,3,False,0.12,3.0,4,1,,3,3.0,12,4,9,1977,False,control
139,False,no,217.0,,18,4,,,1.0,m,78.0,3,2,manufacturing director,4,single,,23238,2,,0.2,4.0,1,0,18.0,0,3.0,11,0,9,1987,False,control
140,True,frequently,481.0,,15,3,life sciences,1167.0,,m,44.0,3,4,sales executive,1,single,,2447,0,,0.12,,2,0,,2,2.0,21,13,14,1981,True,variante
141,False,frequently,669.0,,1,3,,1184.0,4.0,m,97.0,2,2,healthcare representative,1,single,,25755,0,False,0.2,4.0,3,0,14.0,3,3.0,13,4,9,1989,True,variante
142,False,rarely,1465.0,research & development,1,3,medical,,4.0,m,63.0,3,1,research scientist,2,,3579.0,9369,0,True,0.21,4.0,1,1,12.0,2,3.0,11,5,7,1993,True,variante
143,False,rarely,685.0,,3,3,life sciences,,4.0,m,85.0,3,4,research director,4,married,17779.0,23474,3,False,0.14,3.0,1,0,36.0,2,3.0,10,0,9,1969,True,control
144,False,rarely,1062.0,,24,3,medical,1252.0,3.0,f,96.0,2,2,healthcare representative,1,single,,17198,1,False,0.19,,2,0,10.0,2,3.0,10,1,8,1992,False,variante
145,False,,1099.0,,5,3,,1267.0,2.0,m,88.0,3,5,manager,2,married,18213.0,8751,7,False,0.11,3.0,3,1,26.0,5,3.0,22,3,10,1979,,variante
146,False,no,177.0,,8,1,,1278.0,4.0,m,37.0,2,4,healthcare representative,2,divorced,13577.0,25592,1,True,0.15,3.0,4,1,,3,3.0,33,15,0,1968,False,variante
147,False,rarely,1199.0,,4,2,life sciences,1288.0,3.0,m,92.0,4,5,manager,1,divorced,19190.0,17477,1,False,0.14,3.0,4,2,,4,2.0,25,14,13,1979,False,variante
148,False,frequently,648.0,human resources,11,3,life sciences,,3.0,m,56.0,2,2,human resources,2,,,21833,4,False,0.11,3.0,4,2,14.0,5,4.0,10,1,8,1989,True,variante
149,False,,412.0,,13,4,,1307.0,3.0,f,94.0,2,4,manager,2,divorced,17123.0,17334,6,True,0.13,3.0,4,2,,4,3.0,19,15,2,1984,False,variante
150,False,rarely,282.0,,2,2,medical,1336.0,4.0,f,58.0,1,5,manager,3,,19187.0,6992,4,,0.14,,4,1,23.0,5,3.0,19,9,11,1968,,control
151,False,,770.0,,5,3,life sciences,1352.0,3.0,m,84.0,3,4,manager,2,,,17588,1,,0.11,3.0,2,1,,2,3.0,33,0,10,1972,,variante
152,True,,601.0,,14,4,medical,1360.0,,f,53.0,2,3,manufacturing director,1,married,10008.0,12023,7,,0.14,3.0,4,0,,0,2.0,10,5,9,1965,,variante
153,False,,855.0,,4,3,life sciences,,4.0,m,54.0,3,3,manufacturing director,4,single,,18706,1,False,0.11,3.0,3,0,11.0,2,3.0,10,0,8,1975,True,control
154,False,rarely,332.0,human resources,17,3,,1419.0,2.0,m,51.0,2,3,human resources,1,single,7988.0,9769,1,,0.13,3.0,1,0,,3,2.0,10,0,9,1994,False,variante
