,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,employeenumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NUMCOMPANIESWORKED,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TOTALWORKINGYEARS,TrainingTimesLastYear,WORKLIFEBALANCE,YearsAtCompany,YearsSinceLastPromotion,YEARSWITHCURRMANAGER,DateBirth,RemoteWork
21,False,,515.0,,1,2,Life Sciences,73.0,1.0,F,98,3,3, RESEARCH dIrECtor ,4,Single,,15146,1,True,0.12,3.0,3,0,15.0,1,3.0,15,8,12,1990,
22,False,,1223.0,,8,3,,,3.0,F,59,3,3, hEaltHCarE ReprESENTAtIvE ,3,Divorced,,8202,1,,0.13,,2,3,17.0,2,3.0,17,12,8,1987,True
23,False,,202.0,,2,2,Other,820.0,3.0,F,33,3,4, maNagEr ,4,Married,16752.0,12982,1,,0.11,3.0,3,1,,3,2.0,26,3,0,1976,False
24,False,rarely,928.0,,42,2,Life Sciences,,,M,56,3,2, SALEs exeCUtIVe ,4,,6201.0,2823,1,,0.14,3.0,4,1,18.0,1,,18,4,11,1987,
25,False,,607.0,,9,3,Life Sciences,,4.0,F,66,2,3, manUfACtURing dirEctOR ,3,Married,,23457,1,True,0.2,4.0,2,1,17.0,2,3.0,17,5,15,1988,False
26,True,,266.0,,2,1,,,1.0,F,57,1,5, mAnageR ,4,Married,19845.0,25846,1,False,0.15,3.0,4,1,33.0,3,3.0,32,6,9,1971,True
27,False,,429.0,,2,4,Life Sciences,1294.0,3.0,F,53,3,2, MaNufActURing dIrecTOr ,2,Single,,2323,9,True,0.11,3.0,4,0,18.0,2,3.0,16,5,12,1987,False
28,False,rarely,589.0,,28,4,Life Sciences,,2.0,M,79,3,2, laBoratOry tecHNiCiaN ,3,Married,,22949,1,,0.12,3.0,2,1,15.0,3,3.0,15,5,7,1990,True
29,False,no,, Sales ,10,3,Life Sciences,1774.0,4.0,M,87,3,2, saLEs exEcutIVe ,3,,4001.0,12313,1,True,0.14,3.0,3,1,15.0,3,3.0,15,0,7,1989,True
30,False,,, Sales ,37,1,,1815.0,,F,81,3,3, Sales ExECuTIVe ,3,Divorced,10447.0,26458,0,,0.13,3.0,4,1,,3,4.0,22,13,5,1982,True
31,False,,1180.0, Research & Development ,25,3,Medical,1993.0,1.0,M,84,3,3, heALthCArE RePResEntaTIVe ,3,,,13084,2,,0.23,4.0,2,0,25.0,3,3.0,17,12,11,1976,True
32,False,rarely,1282.0,,5,3,,32.0,3.0,F,58,3,5, ManAgER ,3,,,10735,4,,0.11,3.0,4,1,26.0,3,2.0,14,4,8,1970,True
33,False,,776.0,,1,4,Marketing,100.0,3.0,M,32,2,2, salEs EXeCUtIvE ,1,Single,,23016,0,False,0.14,,2,0,16.0,2,3.0,15,2,8,1988,False
34,False,rarely,665.0,,6,4,Other,,1.0,F,41,3,2, rEsEARcH SCIeNTist ,3,Single,,12482,1,,0.14,3.0,3,0,16.0,3,3.0,16,2,10,1989,
35,False,rarely,526.0,,1,2,,244.0,2.0,F,92,3,3, SALEs eXECuTive ,1,Divorced,,2137,1,False,0.25,4.0,3,3,24.0,2,3.0,24,15,7,1977,True
36,False,,1034.0,,16,3,,327.0,4.0,F,80,3,4, ManagEr ,4,Married,16064.0,7744,5,,0.22,4.0,3,1,22.0,3,3.0,17,1,9,1980,True
37,False,,1403.0, Research & Development ,6,3,Life Sciences,373.0,4.0,M,47,3,1, lABORAtOry tECHnIcIan ,4,Married,3210.0,20251,0,,0.11,3.0,3,1,16.0,4,3.0,15,10,11,1987,
38,False,frequently,1499.0,,28,3,,,3.0,F,80,2,3, Sales exEcUtiVe ,1,Married,10266.0,2845,4,False,0.19,3.0,4,0,22.0,5,4.0,18,13,11,1963,True
39,False,frequently,580.0,,5,4,,729.0,4.0,M,48,2,3, saLes eXEcUTIVE ,1,Married,10475.0,23772,5,True,0.21,4.0,3,1,20.0,2,3.0,18,1,12,1983,False
40,False,rarely,859.0,,4,3,,830.0,3.0,F,98,2,2, maNufactUring DIrEcToR ,3,Married,6162.0,19124,1,False,0.12,3.0,3,1,14.0,3,3.0,14,6,8,1991,False
41,False,rarely,263.0,,35,3,,,,M,59,3,1, LaboRAtorY TecHNiCiAn ,1,Single,4721.0,3119,2,True,0.13,,3,0,20.0,3,3.0,18,2,17,1982,True
42,False,,1376.0,,2,2,Medical,981.0,3.0,M,,3,4, ManageR ,3,Divorced,,13938,6,False,0.13,3.0,3,1,22.0,3,4.0,17,15,2,1970,False
43,True,rarely,885.0,,16,4,,1042.0,3.0,F,43,4,1, LABorAToRY tECHnIciAN ,1,Single,,8269,1,,0.16,3.0,3,0,18.0,1,3.0,17,15,14,1987,True
44,False,,1003.0,,8,4,Life Sciences,1080.0,4.0,F,74,2,2, RESEarch SCIenTisT ,1,Divorced,4615.0,21029,8,True,0.23,4.0,1,3,,2,3.0,16,1,7,1977,False
45,False,rarely,1321.0,,1,4,,1995.0,4.0,M,86,3,2, SalES exECUTIve ,2,Married,,7636,0,False,0.15,3.0,1,2,16.0,3,,15,5,8,1985,True
46,False,,,,1,4,,145.0,1.0,F,30,2,3, heAltHCare rEPrESEntaTIvE ,1,Single,,25796,3,,0.2,4.0,3,0,23.0,1,2.0,13,12,8,1972,
47,False,,394.0,,26,2,,158.0,3.0,M,92,3,4, maNaGeR ,4,Married,16959.0,19494,1,True,0.12,3.0,4,2,25.0,3,4.0,25,4,12,1980,True
48,False,,1372.0,,1,3,Life Sciences,391.0,4.0,F,42,3,1, ResEARCh SciENTist ,4,Single,,15881,1,False,0.12,3.0,2,0,,3,3.0,17,5,7,1986,True
49,False,rarely,,,8,2,Technical Degree,436.0,3.0,F,65,2,2, salES ExecuTIve ,2,Married,,24624,1,True,0.11,3.0,4,0,,2,3.0,13,11,9,1991,
50,False,,1333.0,,1,3,,,4.0,F,80,3,3, ReSeaRch directOR ,1,Married,,16292,1,,0.13,3.0,2,1,15.0,3,3.0,15,5,11,1985,False
51,False,,228.0,,3,3,Life Sciences,1527.0,3.0,F,51,3,4, mAnAgER ,2,,,11380,8,False,0.12,3.0,4,1,23.0,2,4.0,13,5,1,1977,True
52,True,rarely,737.0,,10,3,Medical,,4.0,M,55,2,3, sAles EXecuTive ,1,Married,10306.0,21530,9,,0.17,3.0,3,0,15.0,3,,13,6,0,1988,False
53,False,,823.0,,6,3,Medical,1866.0,1.0,F,81,2,5, MaNAGEr ,3,Married,,22539,7,False,0.13,3.0,4,0,21.0,2,3.0,16,6,14,1980,True
54,False,no,667.0,,1,4,Life Sciences,2026.0,3.0,M,57,3,2, hEALThcArE REPrESeNTATive ,3,Divorced,,26236,1,False,0.21,,1,1,,2,2.0,13,1,9,1967,True
55,False,no,301.0,,15,4,Marketing,,4.0,M,88,1,2, SAlES ExECuTIVe ,4,divorced,5406.0,10436,1,False,0.24,4.0,1,1,,4,2.0,15,11,11,1987,True
56,False,,573.0,,6,3,Medical,107.0,2.0,F,79,1,2, rEseARch SCieNtIsT ,4,,,15717,7,,0.12,3.0,4,3,17.0,3,3.0,13,1,9,1985,True
57,False,,,,26,4,Medical,170.0,3.0,F,96,3,2, maNufActUrInG DIrECtOr ,1,,,5549,1,False,0.14,3.0,3,0,16.0,2,2.0,15,5,11,1974,False
58,False,rarely,1329.0,,4,4,Life Sciences,,4.0,F,47,2,2, sALEs eXeCuTIvE ,3,Married,5902.0,14590,4,,0.14,3.0,3,1,17.0,1,4.0,15,5,9,1984,True
59,False,,630.0,,4,4,,215.0,3.0,M,67,2,3, SALES eXECUtiVE ,4,Married,10855.0,8552,7,False,0.11,,1,1,15.0,2,2.0,12,2,11,1983,True
60,False,,,,5,2,,304.0,4.0,M,62,3,2, lAboratORy TeChNiCiaN ,2,Single,5914.0,9945,8,False,0.16,3.0,4,0,16.0,3,4.0,13,3,7,1987,True
61,False,,1063.0,,25,5,,529.0,2.0,F,72,3,2, RESEaRCh sCIENtIst ,3,Married,,23866,3,True,0.15,3.0,1,2,15.0,2,3.0,13,10,7,1986,False
62,False,,1017.0,,6,4,,691.0,2.0,M,82,1,2, REsEarcH sCieNTISt ,4,,6646.0,19368,1,,0.13,3.0,2,0,,3,3.0,17,11,8,1988,True
63,False,frequently,1296.0,,6,3,Life Sciences,692.0,3.0,M,,3,2, heaLthCaRE ReprEseNtaTiVe ,4,Divorced,,5335,3,False,0.23,4.0,3,1,15.0,2,1.0,13,4,7,1990,False
64,False,rarely,939.0, Research & Development ,24,3,,1005.0,4.0,M,,3,4, ManufactUrINg DiReCTOr ,3,Married,13973.0,4161,3,True,0.18,3.0,4,1,22.0,2,3.0,12,1,5,1973,False
65,False,rarely,1355.0,,4,4,,1024.0,3.0,M,78,2,3, HEaLthcAre REPrEsEntaTIvE ,3,Single,,22245,7,,0.14,,2,0,27.0,3,3.0,15,4,8,1975,True
66,False,rarely,1448.0, Sales ,28,3,,1039.0,4.0,F,53,4,4, SaleS eXEcUtIVE ,4,Married,13320.0,11737,3,,0.18,3.0,3,1,,2,3.0,12,11,11,1979,True
67,False,rarely,200.0,,29,4,,1225.0,4.0,M,32,3,2, reseaRCH ScIEntIst ,4,Single,,7744,1,,0.25,4.0,2,0,,3,3.0,20,13,17,1979,True
68,False,,1202.0,,25,1,,1375.0,,F,89,4,2, HEAlTHcaRe ReprESeNtatIVe ,3,,,13888,5,False,0.2,4.0,2,3,15.0,0,3.0,12,11,8,1983,
69,False,rarely,404.0,,2,4,,,3.0,F,98,3,2, HeaLthCare repRESeNTaTIVE ,4,Single,6687.0,6163,1,,0.11,3.0,4,0,14.0,2,4.0,14,4,11,1989,
70,False,no,208.0, Research & Development ,8,4,,,3.0,F,52,3,2, HEaLthcaRe rEprEsEnTAtiVe ,3,,,12250,1,,0.12,3.0,4,1,,5,3.0,14,2,9,1988,
71,False,,813.0,,17,5,Life Sciences,,4.0,F,50,2,3, ReseArcH diReCtOr ,1,,,21981,5,False,0.15,3.0,3,3,,3,3.0,14,1,11,1973,False
72,False,,465.0,,6,1,Life Sciences,1661.0,3.0,F,41,2,4, healthcArE repReSEnTaTive ,3,,,11652,2,,0.19,3.0,2,1,,3,3.0,15,2,12,1974,True
73,False,frequently,1189.0,,1,3,Life Sciences,1668.0,4.0,M,90,3,2, reSeARch sCientIst ,4,,4735.0,9867,7,False,0.15,3.0,4,2,19.0,4,,13,2,9,1985,
74,False,,,,21,3,,1698.0,2.0,M,79,4,1, lAbOrAtory tecHnIciaN ,2,,,13637,1,False,0.18,3.0,4,3,14.0,6,,14,2,13,1990,
75,False,rarely,1001.0,,4,3,Life Sciences,,3.0,F,92,2,3, maNufACTURING DIREctOr ,2,Divorced,,19271,8,True,0.12,,3,1,,4,3.0,22,14,10,1976,True
76,False,,1394.0, Research & Development ,8,3,,1937.0,4.0,F,58,2,2, rESeArCH sCientIST ,2,Divorced,,18115,1,,0.16,3.0,3,1,20.0,3,3.0,20,0,7,1985,False
77,False,rarely,161.0,,10,3,Life Sciences,2017.0,3.0,F,42,4,3, ResEarCh dIReCtOr ,4,,,15471,1,True,0.25,4.0,1,1,16.0,2,3.0,16,6,8,1986,True
78,False,,288.0,,2,3,,117.0,3.0,M,99,2,2, hEALtHcare REpREsenTAtiVe ,4,Married,,15830,1,False,0.19,,1,3,11.0,3,3.0,11,10,8,1993,True
79,False,rarely,682.0,,18,4,,131.0,4.0,M,37,3,4, saLes ExECutiVE ,3,Single,13872.0,24409,0,,0.13,3.0,3,0,38.0,1,2.0,37,1,8,1965,True
80,False,rarely,1354.0,,5,3,,153.0,3.0,F,45,2,3, mAnagER ,1,Single,,5615,2,,0.12,3.0,4,0,14.0,6,3.0,11,5,8,1989,False
81,True,rarely,147.0,,23,4,Medical,,4.0,F,94,3,3, hEaLtHCARE ReprESENTATivE ,4,Married,,3465,1,,0.12,3.0,4,1,40.0,3,2.0,40,15,6,1965,True
82,False,,119.0,,3,3,Life Sciences,307.0,1.0,M,76,3,3, Sales exECuTIVE ,3,Divorced,,9647,0,,0.12,3.0,3,2,,6,2.0,16,5,13,1985,True
83,False,frequently,1413.0,,1,1,,,2.0,F,42,3,3, SalEs eXecUTIVe ,4,Married,,6599,1,,0.14,3.0,4,1,11.0,5,3.0,11,4,1,1994,
84,False,rarely,452.0,,1,3,Medical,374.0,4.0,M,81,3,5, manAger ,1,Single,19045.0,18938,0,,0.14,3.0,3,0,37.0,2,3.0,36,4,13,1968,True
85,False,,334.0,,10,4,,,4.0,M,88,3,4, MAnager ,2,,16015.0,15896,1,,0.19,3.0,2,0,,2,3.0,22,0,4,1982,True
86,False,rarely,1132.0, Research & Development ,1,3,,,3.0,M,48,4,3, healTHCAre rePREseNtATiVE ,4,,9613.0,10942,0,False,0.17,,1,3,19.0,5,2.0,18,3,7,1984,False
87,False,,,,15,2,Life Sciences,,3.0,M,92,2,3, rESEaRCh DirEcToR ,4,,11510.0,15682,0,,0.14,3.0,2,1,,3,3.0,11,2,9,1985,True
88,False,,982.0,,12,3,,,1.0,M,59,2,4, researCH DIrECtoR ,2,,,4345,1,False,0.11,3.0,3,1,,3,,25,3,9,1980,
89,False,,480.0,,30,2,,524.0,2.0,F,31,3,2, MaNufactuRINg dIrecTor ,1,Married,4306.0,4156,1,False,0.12,3.0,2,1,13.0,5,1.0,13,3,12,1992,True
90,False,rarely,1099.0, Research & Development ,27,4,Life Sciences,569.0,,M,88,2,4, mANaGer ,3,married,17046.0,9314,0,False,0.15,3.0,2,1,28.0,2,3.0,27,15,7,1973,
91,False,,672.0,,25,3,Technical Degree,899.0,4.0,M,78,2,3, MaNUFACTuRing dirECTOr ,2,Married,,9129,3,False,0.16,,1,0,,2,3.0,13,4,8,1988,False
92,False,,1379.0,,16,4,,,3.0,M,64,4,2, manufaCtURiNG DirecToR ,3,,5067.0,6759,1,True,0.19,3.0,3,0,20.0,3,,19,2,7,1976,True
93,False,,583.0, Research & Development ,25,4,,1014.0,3.0,F,57,3,3, HEAltHCaRe REPreseNTatIve ,3,Divorced,,6975,1,True,0.11,,3,1,,3,2.0,16,10,1,1988,True
94,False,rarely,1492.0,,20,4,,,1.0,M,61,3,3, hEaLtHCaRe reprEsenTaTive ,4,Married,,26542,4,,0.2,4.0,4,1,14.0,6,3.0,11,11,1,1983,True
95,False,,1050.0, Sales ,9,4,Life Sciences,1117.0,2.0,F,65,2,2, SaLeS eXECUTivE ,3,Married,,17970,1,,0.13,3.0,4,1,15.0,2,3.0,15,4,12,1978,False
96,False,,117.0, Research & Development ,9,3,Medical,1238.0,1.0,M,60,3,1, reSeARCH SCIEnTiST ,4,Married,,6311,0,,0.13,3.0,2,1,15.0,5,3.0,14,4,10,1990,False
97,False,frequently,469.0,,3,3,,,3.0,M,46,3,1, ResEArCH sCIEntisT ,2,Married,3692.0,9256,1,False,0.12,3.0,3,0,12.0,2,2.0,11,0,7,1987,False
98,True,,,,13,3,Marketing,1277.0,1.0,F,94,1,5, maNAger ,2,,,2493,2,True,0.16,3.0,1,0,26.0,2,3.0,24,1,11,1978,
99,False,frequently,237.0,,27,3,,,,M,83,3,5, ManAgeR ,2,,19847.0,19196,4,True,0.24,,1,1,,5,2.0,29,11,10,1972,False
100,False,rarely,1440.0,,7,2,Technical Degree,1541.0,2.0,M,55,3,1, SaLes rEPREsENtAtivE ,3,,2308.0,4944,0,True,0.25,4.0,2,1,12.0,4,3.0,11,5,7,1989,False
101,False,rarely,1291.0, Research & Development ,15,2,,1666.0,3.0,M,65,2,4, ReSearch DiRecTOR ,3,,,3525,1,False,0.24,4.0,1,1,,3,3.0,14,6,11,1980,True
102,False,,1157.0,,5,2,Medical,1696.0,2.0,M,57,2,2, LABoRATOry teChnicIan ,4,,,11912,1,False,0.14,3.0,3,1,,3,,15,4,13,1989,False
103,False,,1336.0,,2,3,,1805.0,1.0,M,100,3,1, huMan RESOURcEs ,2,Divorced,,7129,5,False,0.13,3.0,4,3,13.0,3,3.0,11,3,8,1985,True
104,False,,1224.0,,10,3,,,4.0,M,91,2,5, ResearcH DiReCtOR ,2,,,13583,4,False,0.12,3.0,4,0,29.0,3,3.0,22,12,9,1975,False
105,False,,735.0, Research & Development ,22,4,Other,1932.0,3.0,M,86,2,2, resEaRCh SciEnTist ,4,Married,5747.0,26496,1,True,0.15,3.0,2,0,16.0,3,3.0,15,6,11,1989,False
106,False,rarely,,,31,4,,2016.0,,F,48,3,3, SAleS eXEcUtIve ,4,,10422.0,24032,1,False,0.19,3.0,3,2,14.0,3,3.0,14,5,7,1991,True
107,False,rarely,1389.0,,21,4,Life Sciences,20.0,2.0,F,51,4,3, maNufaCturing direcTOr ,1,Divorced,,10195,1,False,0.11,3.0,3,1,10.0,1,3.0,10,8,8,1994,False
108,False,,638.0,,1,3,Medical,,3.0,M,40,2,3, HEalThCare REPreseNTAtive ,1,Married,,3142,2,True,0.13,3.0,3,1,21.0,5,2.0,10,9,5,1977,False
109,False,,1240.0, Human Resources ,9,3,,184.0,3.0,M,48,3,2, hUmaN REsoUrCes ,4,Married,6347.0,13982,0,True,0.19,3.0,4,0,,2,1.0,11,4,7,1993,False
110,False,,194.0,,9,3,Life Sciences,206.0,2.0,M,60,3,2, LaboRaTORY TechnICiAn ,2,,2348.0,10901,8,False,0.18,3.0,3,1,20.0,2,,17,0,15,1978,True
111,False,rarely,1339.0,,5,3,,228.0,2.0,F,41,3,3, SalES ExeCuTIVe ,4,,,8053,2,False,0.12,3.0,3,1,,2,3.0,10,7,4,1993,
112,False,,111.0,,9,3,,239.0,3.0,M,66,3,2, lABOrAtorY tEcHNICian ,1,,3072.0,11012,1,False,0.11,,3,2,12.0,4,3.0,12,6,10,1993,True
113,False,frequently,,,29,1,,256.0,4.0,M,45,2,2, manUFACTuRiNg dIrECToR ,3,Married,,14074,1,,0.17,3.0,3,0,10.0,2,2.0,10,1,9,1989,False
114,False,rarely,1469.0,,8,4,Life Sciences,,2.0,M,81,2,3, RESEArCh dIRECTOR ,2,Married,12490.0,15736,5,False,0.16,3.0,4,2,16.0,5,1.0,10,4,7,1972,False
115,False,,470.0,,39,4,Life Sciences,339.0,,M,84,2,2, MAnufACturiNg dIReCtOR ,1,,,23687,6,,0.13,3.0,2,1,13.0,3,3.0,11,5,9,1989,True
116,False,rarely,1232.0,,16,3,,406.0,3.0,M,96,3,3, Sales ExEcUTIvE ,2,Married,8020.0,5100,0,,0.15,3.0,3,2,12.0,3,2.0,11,6,9,1988,True
117,False,frequently,1249.0,,7,3,Life Sciences,,1.0,M,97,3,3, LaboRaTOrY techNiciaN ,1,,,20308,1,,0.18,3.0,1,1,24.0,2,3.0,24,9,11,1978,True
118,False,,117.0,,10,1,,429.0,3.0,M,99,3,4, ManageR ,1,Married,17068.0,5355,1,,0.14,,4,0,21.0,3,3.0,21,11,10,1984,True
119,False,,798.0,,7,2,,,3.0,F,48,2,3, MANufacTUrinG diREcTor ,3,Married,8943.0,14034,1,False,0.24,4.0,1,1,10.0,2,3.0,10,8,9,1992,False
120,False,,672.0, Research & Development ,7,2,,444.0,3.0,M,54,2,5, manAgER ,4,Married,19272.0,21141,1,,0.15,3.0,1,1,,2,3.0,21,13,3,1984,
121,False,rarely,549.0,,8,4,,452.0,4.0,M,75,3,2, RESearCH scienTIST ,4,,,9278,9,False,0.14,3.0,1,2,12.0,3,3.0,10,9,8,1978,
122,False,rarely,570.0, Sales ,5,3,Marketing,456.0,4.0,F,30,2,2, SaLES eXeCUtIVE ,3,,,5431,1,,0.13,3.0,3,3,10.0,2,3.0,10,1,2,1993,True
123,False,,1232.0,,7,4,Medical,,3.0,F,39,3,3, maNUfActuRinG diRectOR ,4,,,25713,1,,0.14,3.0,3,0,11.0,2,2.0,11,4,10,1992,False
124,False,,541.0,,3,4,Medical,481.0,1.0,M,48,2,3, SAles exEcUtivE ,4,Married,,7246,4,False,0.11,3.0,1,1,16.0,2,3.0,13,1,12,1987,
125,False,rarely,164.0,,2,2,,513.0,2.0,M,61,2,3, saLes eXECUTIVE ,3,Married,,3809,1,,0.13,3.0,2,2,10.0,2,3.0,10,9,0,1987,
126,False,rarely,1117.0,,18,5,,597.0,1.0,F,83,3,4, MAnAgER ,2,Single,,9873,3,False,0.23,4.0,4,0,37.0,2,3.0,10,7,7,1968,True
127,False,,619.0,,1,3,,600.0,2.0,M,85,3,2, SAles exEcutiVE ,3,,,18659,9,,0.11,3.0,3,0,15.0,2,3.0,11,6,9,1988,True
128,False,rarely,319.0,,24,3,Medical,,4.0,M,56,3,3, MANufactURINg DirEctOR ,1,Married,,6950,1,,0.21,4.0,4,1,10.0,5,2.0,10,5,8,1981,False
129,False,rarely,956.0,,6,2,,630.0,4.0,M,78,3,2, RESEarCh sCiENTIst ,1,Divorced,5577.0,22087,3,True,0.12,,2,2,18.0,3,3.0,10,6,9,1971,True
130,False,,1245.0,,18,4,Life Sciences,638.0,4.0,M,58,2,5, reseArcH DIRectOr ,3,,,2125,1,True,0.17,3.0,3,1,,5,3.0,31,0,9,1974,True
131,False,rarely,1397.0, Research & Development ,1,5,,683.0,2.0,M,42,3,1, reSEarCH scIentISt ,4,Married,2691.0,7660,1,False,0.12,3.0,4,1,,4,2.0,10,8,8,1989,True
132,True,rarely,527.0,,1,4,Other,780.0,4.0,M,63,3,1, rESearCh SCiEnTIST ,4,Single,,5207,1,,0.13,3.0,3,0,10.0,2,2.0,10,7,8,1990,False
133,False,,213.0, Research & Development ,7,3,Medical,817.0,3.0,M,49,3,3, ReSeARCh DiRECtor ,3,Married,,25995,0,False,0.11,3.0,4,0,,3,4.0,13,3,7,1990,
134,False,rarely,,,23,4,,901.0,4.0,F,72,3,4, RESEARcH DirecToR ,4,,,20206,6,False,0.18,3.0,3,0,33.0,0,3.0,12,3,8,1970,True
135,False,rarely,527.0,,8,2,Other,944.0,1.0,F,51,3,3, LAboRatORY TeCHNicIAn ,2,Married,7403.0,22477,4,,0.11,3.0,3,1,29.0,3,2.0,26,1,7,1974,False
136,False,,882.0,,21,4,,984.0,,M,,3,3, SaLeS exEcuTIVE ,4,,,6812,6,,0.13,3.0,2,1,,2,3.0,10,0,8,1988,False
137,False,rarely,330.0,,17,1,Life Sciences,1088.0,3.0,F,65,2,3, heAlThCARE rEpreSentaTIVE ,3,Married,8823.0,24608,0,,0.18,3.0,1,1,20.0,4,2.0,19,1,9,1985,False
138,False,,406.0, Sales ,3,1,Marketing,1124.0,1.0,M,,3,4, MaNAgeR ,3,Married,,15596,3,False,0.12,3.0,4,1,,3,3.0,12,4,9,1977,False
139,False,no,217.0,,18,4,,,1.0,M,78,3,2, MaNuFacTUriNG dIRectOr ,4,Single,,23238,2,,0.2,4.0,1,0,18.0,0,3.0,11,0,9,1987,False
140,True,frequently,481.0,,15,3,Life Sciences,1167.0,,M,44,3,4, salEs EXecuTIve ,1,Single,,2447,0,,0.12,,2,0,,2,2.0,21,13,14,1981,True
141,False,frequently,669.0,,1,3,,1184.0,4.0,M,97,2,2, HEAlTHcaRe rEpreseNTatIvE ,1,Single,,25755,0,False,0.2,4.0,3,0,14.0,3,3.0,13,4,9,1989,True
