,age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over18,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_current_manager,same_as_monthly_income,date_birth,salary,role_departament,remote_work
74,33.0,False,,,,21,3,,1698.0,2,m,79,4,1,laboratory technician,2,,,13637,1,,False,0.18,3.0,4,,3,14.0,6,,14,,2,13,,1990,1000000000.0,,
75,47.0,False,rarely,1001.0,,4,3,life sciences,,3,f,92,2,3,manufacturing director,2,divorced,,19271,8,,True,0.12,,3,,1,,4,3.0,22,,14,10,,1976,1000000000.0,,True
76,38.0,False,,1394.0,research & development,8,3,,1937.0,4,f,58,2,2,research scientist,2,divorced,,18115,1,,,0.16,3.0,3,,1,20.0,3,3.0,20,,0,7,,1985,1000000000.0,research & development,False
77,37.0,False,rarely,161.0,,10,3,life sciences,2017.0,3,f,42,4,3,research director,4,,,15471,1,,True,0.25,4.0,1,,1,16.0,2,3.0,16,,6,8,,1986,1000000000.0,,True
78,30.0,False,,288.0,,2,3,,117.0,3,m,99,2,2,healthcare representative,4,married,,15830,1,,False,0.19,,1,80.0,3,11.0,3,3.0,11,,10,8,,1993,1000000000.0,,True
79,,False,rarely,682.0,,18,4,,131.0,4,m,37,3,4,sales executive,3,single,13872.0,24409,0,,,0.13,3.0,3,,0,38.0,1,2.0,37,,1,8,13872.0,1965,1000000000.0,,True
80,34.0,False,rarely,1354.0,,5,3,,153.0,3,f,45,2,3,manager,1,single,,5615,2,,,0.12,3.0,4,80.0,0,14.0,6,3.0,11,,5,8,,1989,1000000000.0,,False
81,58.0,True,rarely,147.0,,23,4,medical,,4,f,94,3,3,healthcare representative,4,married,,3465,1,,,0.12,3.0,4,,1,40.0,3,2.0,40,,15,6,,1965,1000000000.0,,True
82,38.0,False,,119.0,,3,3,life sciences,307.0,1,m,76,3,3,sales executive,3,divorced,,9647,0,True,,0.12,3.0,3,,2,,6,2.0,16,,5,13,,1985,1000000000.0,,True
83,29.0,False,frequently,1413.0,,1,1,,,2,f,42,3,3,sales executive,4,married,,6599,1,True,,0.14,3.0,4,,1,11.0,5,3.0,11,,4,1,,1994,1000000000.0,,
84,55.0,False,rarely,452.0,,1,3,medical,374.0,4,m,81,3,5,manager,1,single,19045.0,18938,0,True,,0.14,3.0,3,,0,37.0,2,3.0,36,,4,13,19045.0,1968,1000000000.0,,True
85,41.0,False,,334.0,,10,4,,,4,m,88,3,4,manager,2,,16015.0,15896,1,,,0.19,3.0,2,,0,,2,3.0,22,,0,4,16015.0,1982,1000000000.0,,True
86,39.0,False,rarely,1132.0,research & development,1,3,,,3,m,48,4,3,healthcare representative,4,,9613.0,10942,0,,False,0.17,,1,80.0,3,19.0,5,2.0,18,,3,7,9613.0,1984,1000000000.0,research & development,False
87,38.0,False,,,,15,2,life sciences,,3,m,92,2,3,research director,4,,11510.0,15682,0,,,0.14,3.0,2,,1,,3,3.0,11,,2,9,11510.0,1985,1000000000.0,,True
88,43.0,False,,982.0,,12,3,,,1,m,59,2,4,research director,2,,,4345,1,,False,0.11,3.0,3,80.0,1,,3,,25,,3,9,,1980,1000000000.0,,
89,31.0,False,,480.0,,30,2,,524.0,2,f,31,3,2,manufacturing director,1,married,4306.0,4156,1,,False,0.12,3.0,2,80.0,1,13.0,5,1.0,13,,3,12,4306.0,1992,1000000000.0,,True
90,50.0,False,rarely,1099.0,research & development,27,4,life sciences,569.0,27,m,88,2,4,manager,3,marreid,17046.0,9314,0,True,False,0.15,3.0,2,,1,28.0,2,3.0,27,,15,7,17046.0,1973,1000000000.0,research & development,
91,35.0,False,,672.0,,25,3,technical degree,899.0,4,m,78,2,3,manufacturing director,2,married,,9129,3,True,False,0.16,,1,,0,,2,3.0,13,,4,8,,1988,1000000000.0,,False
92,47.0,False,,1379.0,,16,4,,,3,m,64,4,2,manufacturing director,3,,5067.0,6759,1,,True,0.19,3.0,3,,0,20.0,3,,19,,2,7,5067.0,1976,1000000000.0,,True
93,35.0,False,,583.0,research & development,25,4,,1014.0,3,f,57,3,3,healthcare representative,3,divorced,,6975,1,,True,0.11,,3,,1,,3,2.0,16,,10,1,,1988,1000000000.0,research & development,True
94,40.0,False,rarely,1492.0,,20,4,,,1,m,61,3,3,healthcare representative,4,married,,26542,4,True,,0.2,4.0,4,,1,14.0,6,3.0,11,,11,1,,1983,1000000000.0,,True
95,45.0,False,,1050.0,sales,9,4,life sciences,1117.0,2,f,65,2,2,sales executive,3,married,,17970,1,True,,0.13,3.0,4,80.0,1,15.0,2,3.0,15,,4,12,,1978,1000000000.0,sales,False
96,33.0,False,,117.0,research & development,9,3,medical,1238.0,1,m,60,3,1,research scientist,4,married,,6311,0,True,,0.13,3.0,2,,1,15.0,5,3.0,14,,4,10,,1990,1000000000.0,research & development,False
97,36.0,False,frequently,469.0,,3,3,,,3,m,46,3,1,research scientist,2,married,3692.0,9256,1,True,False,0.12,3.0,3,,0,12.0,2,2.0,11,,0,7,3692.0,1987,1000000000.0,,False
98,45.0,True,,,,13,3,marketing,1277.0,1,f,94,1,5,manager,2,,,2493,2,,True,0.16,3.0,1,,0,26.0,2,3.0,24,,1,11,,1978,1000000000.0,,
99,51.0,False,frequently,237.0,,27,3,,,27,m,83,3,5,manager,2,,19847.0,19196,4,,True,0.24,,1,,1,,5,2.0,29,,11,10,19847.0,1972,1000000000.0,,False
100,34.0,False,rarely,1440.0,,7,2,technical degree,1541.0,2,m,55,3,1,sales representative,3,,2308.0,4944,0,,True,0.25,4.0,2,,1,12.0,4,3.0,11,,5,7,2308.0,1989,1000000000.0,,False
101,43.0,False,rarely,1291.0,research & development,15,2,,1666.0,3,m,65,2,4,research director,3,,,3525,1,,False,0.24,4.0,1,,1,,3,3.0,14,,6,11,,1980,1000000000.0,research & development,True
102,34.0,False,,1157.0,,5,2,medical,1696.0,2,m,57,2,2,laboratory technician,4,,,11912,1,True,False,0.14,3.0,3,,1,,3,,15,,4,13,,1989,1000000000.0,,False
103,38.0,False,,1336.0,,2,3,,1805.0,1,m,100,3,1,human resources,2,divorced,,7129,5,,False,0.13,3.0,4,,3,13.0,3,3.0,11,,3,8,,1985,1000000000.0,,True
104,48.0,False,,1224.0,,10,3,,,4,m,91,2,5,research director,2,,,13583,4,True,False,0.12,3.0,4,,0,29.0,3,3.0,22,,12,9,,1975,1000000000.0,,False
105,34.0,False,,735.0,research & development,22,4,other,1932.0,3,m,86,2,2,research scientist,4,married,5747.0,26496,1,,True,0.15,3.0,2,,0,16.0,3,3.0,15,,6,11,5747.0,1989,1000000000.0,research & development,False
106,32.0,False,rarely,,,31,4,,2016.0,31,f,48,3,3,sales executive,4,,10422.0,24032,1,True,False,0.19,3.0,3,,2,14.0,3,3.0,14,,5,7,10422.0,1991,1000000000.0,,True
107,29.0,False,rarely,1389.0,,21,4,life sciences,20.0,2,f,51,4,3,manufacturing director,1,divorced,,10195,1,True,False,0.11,3.0,3,,1,10.0,1,3.0,10,,8,8,,1994,1000000000.0,,False
108,46.0,False,,638.0,,1,3,medical,,3,m,40,2,3,healthcare representative,1,married,,3142,2,,True,0.13,3.0,3,,1,21.0,5,2.0,10,,9,5,,1977,1000000000.0,,False
109,30.0,False,,1240.0,human resources,9,3,,184.0,3,m,48,3,2,human resources,4,married,6347.0,13982,0,,True,0.19,3.0,4,80.0,0,,2,1.0,11,,4,7,6347.0,1993,1000000000.0,human resources,False
110,45.0,False,,194.0,,9,3,life sciences,206.0,2,m,60,3,2,laboratory technician,2,,2348.0,10901,8,True,False,0.18,3.0,3,,1,20.0,2,,17,,0,15,2348.0,1978,1000000000.0,,True
111,30.0,False,rarely,1339.0,,5,3,,228.0,2,f,41,3,3,sales executive,4,,,8053,2,True,False,0.12,3.0,3,,1,,2,3.0,10,,7,4,,1993,1000000000.0,,
112,30.0,False,,111.0,,9,3,,239.0,3,m,66,3,2,laboratory technician,1,,3072.0,11012,1,True,False,0.11,,3,80.0,2,12.0,4,3.0,12,,6,10,3072.0,1993,1000000000.0,,True
113,34.0,False,frequently,,,29,1,,256.0,4,m,45,2,2,manufacturing director,3,married,,14074,1,,,0.17,3.0,3,,0,10.0,2,2.0,10,,1,9,,1989,1000000000.0,,False
114,51.0,False,rarely,1469.0,,8,4,life sciences,,2,m,81,2,3,research director,2,married,12490.0,15736,5,,False,0.16,3.0,4,,2,16.0,5,1.0,10,,4,7,12490.0,1972,1000000000.0,,False
115,34.0,False,,470.0,,39,4,life sciences,339.0,39,m,84,2,2,manufacturing director,1,,,23687,6,,,0.13,3.0,2,,1,13.0,3,3.0,11,,5,9,,1989,1000000000.0,,True
116,35.0,False,rarely,1232.0,,16,3,,406.0,3,m,96,3,3,sales executive,2,married,8020.0,5100,0,True,,0.15,3.0,3,,2,12.0,3,2.0,11,,6,9,8020.0,1988,1000000000.0,,True
117,45.0,False,frequently,1249.0,,7,3,life sciences,,1,m,97,3,3,laboratory technician,1,,,20308,1,True,,0.18,3.0,1,,1,24.0,2,3.0,24,,9,11,,1978,1000000000.0,,True
118,39.0,False,,117.0,,10,1,,429.0,3,m,99,3,4,manager,1,married,17068.0,5355,1,,,0.14,,4,,0,21.0,3,3.0,21,,11,10,17068.0,1984,1000000000.0,,True
119,31.0,False,,798.0,,7,2,,,3,f,48,2,3,manufacturing director,3,married,8943.0,14034,1,,False,0.24,4.0,1,,1,10.0,2,3.0,10,,8,9,8943.0,1992,1000000000.0,,False
120,39.0,False,,672.0,research & development,7,2,,444.0,3,m,54,2,5,manager,4,married,19272.0,21141,1,True,,0.15,3.0,1,,1,,2,3.0,21,,13,3,19272.0,1984,1000000000.0,research & development,
121,45.0,False,rarely,549.0,,8,4,,452.0,4,m,75,3,2,research scientist,4,,,9278,9,True,False,0.14,3.0,1,80.0,2,12.0,3,3.0,10,,9,8,,1978,1000000000.0,,
122,30.0,False,rarely,570.0,sales,5,3,marketing,456.0,4,f,30,2,2,sales executive,3,,,5431,1,,,0.13,3.0,3,,3,10.0,2,3.0,10,,1,2,,1993,1000000000.0,sales,True
123,31.0,False,,1232.0,,7,4,medical,,3,f,39,3,3,manufacturing director,4,,,25713,1,True,,0.14,3.0,3,,0,11.0,2,2.0,11,,4,10,,1992,1000000000.0,,False
124,36.0,False,,541.0,,3,4,medical,481.0,1,m,48,2,3,sales executive,4,married,,7246,4,True,False,0.11,3.0,1,,1,16.0,2,3.0,13,,1,12,,1987,1000000000.0,,
125,36.0,False,rarely,164.0,,2,2,,513.0,2,m,61,2,3,sales executive,3,married,,3809,1,,,0.13,3.0,2,,2,10.0,2,3.0,10,,9,0,,1987,1000000000.0,,
126,55.0,False,rarely,1117.0,,18,5,,597.0,1,f,83,3,4,manager,2,single,,9873,3,True,False,0.23,4.0,4,,0,37.0,2,3.0,10,,7,7,,1968,1000000000.0,,True
127,35.0,False,,619.0,,1,3,,600.0,2,m,85,3,2,sales executive,3,,,18659,9,True,,0.11,3.0,3,,0,15.0,2,3.0,11,,6,9,,1988,1000000000.0,,True
128,42.0,False,rarely,319.0,,24,3,medical,,4,m,56,3,3,manufacturing director,1,married,,6950,1,,,0.21,4.0,4,80.0,1,10.0,5,2.0,10,,5,8,,1981,1000000000.0,,False
129,52.0,False,rarely,956.0,,6,2,,630.0,4,m,78,3,2,research scientist,1,divorced,5577.0,22087,3,True,True,0.12,,2,,2,18.0,3,3.0,10,,6,9,5577.0,1971,1000000000.0,,True
130,49.0,False,,1245.0,,18,4,life sciences,638.0,4,m,58,2,5,research director,3,,,2125,1,,True,0.17,3.0,3,,1,,5,3.0,31,,0,9,,1974,1000000000.0,,True
131,34.0,False,rarely,1397.0,research & development,1,5,,683.0,2,m,42,3,1,research scientist,4,married,2691.0,7660,1,,False,0.12,3.0,4,80.0,1,,4,2.0,10,,8,8,2691.0,1989,1000000000.0,research & development,True
132,33.0,True,rarely,527.0,,1,4,other,780.0,4,m,63,3,1,research scientist,4,single,,5207,1,True,,0.13,3.0,3,80.0,0,10.0,2,2.0,10,,7,8,,1990,1000000000.0,,False
133,33.0,False,,213.0,research & development,7,3,medical,817.0,3,m,49,3,3,research director,3,married,,25995,0,,False,0.11,3.0,4,,0,,3,4.0,13,,3,7,,1990,1000000000.0,research & development,
