,Unnamed: 0,employee_number,department,job_role,job_level,job_involvement,years_at_company,years_since_last_promotion,years_with_current_manager,training_times_last_year,remote_work,performance_rating,attrition,marital_status,distance_from_home,education,education_field,total_working_years,num_companies_worked
92,134,901,,research director,4,3,12,3,8,0,True,3.0,False,,23,4,,33.0,6
93,135,944,,laboratory technician,3,3,26,1,7,3,False,3.0,False,married,8,2,other,29.0,4
94,136,984,,sales executive,3,3,10,0,8,2,False,3.0,False,,21,4,,,6
95,137,1088,,healthcare representative,3,2,19,1,9,4,False,3.0,False,married,17,1,life sciences,20.0,0
96,138,1124,sales,manager,4,3,12,4,9,3,False,3.0,False,married,3,1,marketing,,3
97,140,1167,,sales executive,4,3,21,13,14,2,True,,True,single,15,3,life sciences,,0
98,141,1184,,healthcare representative,2,2,13,4,9,3,True,4.0,False,single,1,3,,14.0,0
99,144,1252,,healthcare representative,2,2,10,1,8,2,False,,False,single,24,3,medical,10.0,1
100,145,1267,,manager,5,3,22,3,10,5,,3.0,False,married,5,3,,26.0,7
101,146,1278,,healthcare representative,4,2,33,15,0,3,False,3.0,False,divorced,8,1,,,1
102,147,1288,,manager,5,4,25,14,13,4,False,3.0,False,divorced,4,2,life sciences,,1
103,149,1307,,manager,4,2,19,15,2,4,False,3.0,False,divorced,13,4,,,6
104,150,1336,,manager,5,1,19,9,11,5,,,False,,2,2,medical,23.0,4
105,151,1352,,manager,4,3,33,0,10,2,,3.0,False,,5,3,life sciences,,1
106,152,1360,,manufacturing director,3,2,10,5,9,0,,3.0,True,married,14,4,medical,,7
107,154,1419,human resources,human resources,3,2,10,0,9,3,False,3.0,False,single,17,3,,,1
108,155,1478,,sales executive,2,1,13,3,12,2,True,,False,single,3,3,other,15.0,3
109,156,1480,,laboratory technician,1,3,12,5,8,3,True,3.0,False,,9,2,,12.0,1
110,158,1489,,sales executive,2,2,15,10,10,2,False,4.0,True,single,24,4,,16.0,0
111,159,1520,,manager,4,3,14,1,12,2,True,,False,,11,4,medical,26.0,3
112,160,1535,,sales executive,3,2,10,8,6,3,False,3.0,False,,1,3,,,1
113,161,1586,,laboratory technician,1,3,10,1,5,3,,3.0,False,single,3,1,medical,,1
114,162,1596,,laboratory technician,2,4,10,6,8,3,,,False,,28,3,life sciences,,1
115,163,1667,,sales executive,2,3,11,6,7,2,,4.0,True,,12,4,other,13.0,3
116,164,1701,,research scientist,1,2,10,8,7,3,True,3.0,False,married,19,3,life sciences,10.0,1
117,165,1706,,sales executive,2,3,10,8,8,3,False,3.0,False,,2,3,,10.0,1
118,168,1971,,healthcare representative,3,3,10,0,9,1,True,3.0,False,married,11,3,life sciences,10.0,1
119,170,1976,research & development,research scientist,2,2,20,3,7,2,,3.0,False,single,23,2,,20.0,1
120,171,1985,,laboratory technician,2,3,10,9,4,2,,,False,married,11,3,technical degree,10.0,1
121,172,2032,research & development,laboratory technician,1,3,10,9,8,4,True,3.0,True,married,7,2,technical degree,14.0,8
122,173,2056,,sales executive,4,2,20,9,6,2,True,3.0,False,,33,1,marketing,,0
123,176,57,,laboratory technician,2,3,12,3,7,2,True,4.0,False,,1,2,,12.0,1
124,178,78,research & development,manufacturing director,2,3,9,7,8,3,True,4.0,False,married,1,3,medical,9.0,1
125,179,104,,laboratory technician,2,2,10,3,0,1,False,3.0,False,married,1,1,life sciences,,1
126,180,118,sales,sales executive,3,2,9,4,7,3,False,3.0,True,,9,2,medical,9.0,1
127,181,121,,sales executive,2,2,11,2,7,4,False,3.0,False,,4,2,,11.0,1
128,182,125,,sales executive,2,3,11,5,7,0,True,3.0,False,single,6,4,,12.0,1
129,184,207,,sales executive,3,3,9,3,7,2,True,3.0,False,single,8,3,marketing,9.0,1
130,185,227,research & development,research scientist,1,3,9,1,8,2,True,3.0,False,divorced,34,3,life sciences,,4
131,186,253,,manager,5,3,20,9,9,2,False,3.0,False,,4,1,medical,21.0,1
132,187,264,,manager,4,2,20,11,8,1,True,4.0,False,married,2,2,,22.0,9
133,188,291,,sales executive,3,1,14,9,8,2,False,3.0,True,married,4,4,,14.0,1
134,189,292,research & development,manufacturing director,3,2,11,5,8,2,True,4.0,False,,1,1,life sciences,,1
135,190,306,,research director,3,3,10,0,7,1,,3.0,False,,11,3,,,1
136,192,335,,research scientist,2,3,9,4,7,3,False,3.0,False,,24,2,technical degree,,1
137,194,420,,sales executive,2,2,13,4,8,3,,3.0,False,married,7,3,life sciences,13.0,1
138,195,421,,research director,3,2,10,0,1,2,True,3.0,False,,25,2,life sciences,,3
139,196,441,,research scientist,2,3,10,1,9,2,True,3.0,False,married,28,2,,11.0,1
140,197,531,,manager,5,3,21,1,6,3,,3.0,False,,1,1,,21.0,1
141,198,549,,manager,5,3,29,11,10,5,,3.0,False,,7,3,life sciences,33.0,5
142,199,567,,sales executive,3,3,9,7,8,3,,3.0,False,,22,4,other,10.0,0
143,200,581,research & development,manufacturing director,3,3,13,0,8,6,True,4.0,False,divorced,9,1,,,1
144,201,702,,research scientist,1,3,10,9,7,3,False,3.0,True,single,3,3,life sciences,,1
145,202,716,,laboratory technician,1,4,20,3,8,3,True,,False,married,28,1,medical,20.0,1
146,203,772,research & development,laboratory technician,2,3,10,4,7,2,True,,False,,24,4,life sciences,10.0,1
147,204,836,,manufacturing director,2,3,9,7,8,3,,3.0,False,,29,3,,10.0,1
148,205,840,sales,sales executive,3,3,9,7,7,3,False,3.0,True,married,11,3,marketing,,1
149,206,844,,research director,3,2,9,0,8,3,True,3.0,False,divorced,5,1,,,1
150,208,867,research & development,manufacturing director,4,2,9,0,0,3,False,4.0,False,married,26,4,,31.0,3
151,209,889,,sales executive,2,3,10,5,3,3,True,3.0,False,,5,2,life sciences,10.0,1
152,210,924,,healthcare representative,2,3,16,4,11,2,False,3.0,False,,14,1,life sciences,,0
153,213,976,,manager,4,3,9,7,8,2,True,3.0,False,married,1,2,life sciences,26.0,2
154,214,992,,manager,4,3,10,6,0,2,False,3.0,False,single,17,3,,10.0,1
155,215,1002,,laboratory technician,2,3,9,0,8,2,True,3.0,False,,23,2,life sciences,9.0,1
156,216,1073,research & development,manufacturing director,3,2,14,7,8,2,True,3.0,False,,12,5,,15.0,0
157,217,1138,,sales executive,4,2,9,2,3,3,False,3.0,False,,8,4,,22.0,6
158,219,1192,,laboratory technician,1,3,10,0,8,5,False,3.0,False,married,6,1,,,1
159,220,1196,research & development,manufacturing director,2,2,14,3,11,2,True,3.0,False,married,1,3,life sciences,14.0,1
160,223,1315,,laboratory technician,2,1,9,7,5,6,True,3.0,False,married,1,3,,10.0,0
161,224,1324,,sales executive,3,3,10,9,6,5,,3.0,False,,2,4,,10.0,1
162,225,1334,,manager,4,3,20,2,10,3,False,,False,,2,1,life sciences,21.0,0
163,226,1346,,research scientist,2,3,9,8,8,4,,3.0,False,single,2,3,life sciences,9.0,1
164,227,1356,,sales executive,2,3,10,9,6,6,True,3.0,False,single,15,2,medical,,1
165,228,1423,,research director,5,3,9,1,5,3,False,4.0,False,,1,3,,,3
166,229,1459,,manufacturing director,3,4,10,4,7,2,True,3.0,True,,1,5,,,1
167,231,1472,,research director,4,4,9,8,8,2,,3.0,False,single,2,3,medical,35.0,4
168,232,1485,research & development,research director,4,3,14,6,9,3,True,3.0,False,,15,3,,16.0,7
169,234,1543,,research scientist,2,3,10,3,7,2,True,3.0,False,married,13,3,,,1
170,235,1547,,healthcare representative,3,3,20,13,9,3,,3.0,False,,2,3,,24.0,2
171,236,1553,,healthcare representative,3,3,10,7,7,4,True,3.0,False,divorced,1,4,,,1
172,237,1562,,sales executive,2,2,10,6,7,4,True,3.0,True,married,1,3,,,1
173,238,1582,,sales executive,2,3,9,7,7,3,True,3.0,False,married,14,3,life sciences,10.0,0
174,239,1606,,healthcare representative,4,3,30,12,13,3,False,3.0,False,,20,5,medical,32.0,2
175,241,1658,,research scientist,2,3,11,7,9,2,,3.0,False,,3,3,,11.0,1
176,242,1665,research & development,manager,4,3,10,4,7,6,True,4.0,False,,22,5,,36.0,3
177,244,1737,,laboratory technician,2,3,9,5,8,2,True,3.0,False,married,1,3,life sciences,,1
178,247,1790,,healthcare representative,3,3,12,5,7,1,False,3.0,False,,10,3,life sciences,15.0,7
179,249,1823,,sales executive,2,4,10,4,8,5,False,4.0,False,,8,2,,10.0,1
180,251,1857,,manufacturing director,3,3,9,4,7,4,True,3.0,False,divorced,2,2,life sciences,12.0,3
181,252,1864,,sales representative,2,2,9,5,8,5,False,4.0,False,married,23,1,medical,,1
182,253,1881,,laboratory technician,2,3,10,0,2,2,False,3.0,False,divorced,36,3,life sciences,10.0,1
183,254,1888,research & development,manufacturing director,2,2,9,3,8,2,True,,False,,25,2,life sciences,10.0,0
184,255,1950,,sales executive,3,3,14,2,1,3,False,4.0,False,,1,3,marketing,14.0,1
185,257,1962,,sales executive,2,3,10,0,9,2,False,3.0,False,,7,4,,10.0,1
186,258,1975,,sales executive,4,3,20,11,10,3,False,3.0,False,single,15,4,marketing,21.0,0
187,259,1986,,sales executive,2,3,11,5,10,4,True,3.0,False,married,2,2,marketing,,3
188,261,2000,research & development,research director,3,3,13,5,12,3,True,3.0,False,married,1,1,,14.0,0
189,263,2,,research scientist,2,2,10,1,7,3,,4.0,False,married,8,1,,10.0,1
190,264,5,,research scientist,1,3,8,3,0,3,True,3.0,False,married,19,4,life sciences,,1
191,268,35,,sales executive,2,3,9,4,2,2,False,,False,,8,4,,10.0,0
192,269,76,research & development,laboratory technician,2,3,7,1,7,3,False,4.0,False,divorced,7,4,life sciences,,3
193,270,98,,manufacturing director,2,3,11,1,8,2,False,4.0,False,single,8,4,,11.0,1
194,271,120,,sales executive,2,3,10,1,0,2,,4.0,False,,21,4,marketing,11.0,0
195,272,147,,laboratory technician,2,1,9,0,6,3,,4.0,True,,7,3,,9.0,1
196,273,154,,sales executive,3,3,9,2,8,6,False,3.0,False,,11,2,technical degree,10.0,0
197,274,159,,research scientist,1,1,10,0,9,2,False,4.0,False,divorced,23,3,,,1
198,275,160,,sales executive,2,3,7,0,7,2,,3.0,False,married,12,2,,,0
199,276,163,,sales executive,2,1,7,7,7,3,False,3.0,True,married,6,4,life sciences,,4
200,277,176,,sales executive,3,3,9,0,7,2,False,3.0,False,divorced,23,1,,,3
201,278,177,,human resources,1,3,8,5,7,3,,4.0,False,,25,1,,8.0,1
202,279,195,,sales executive,2,1,8,0,7,2,,3.0,False,divorced,9,2,,,0
203,280,202,,research scientist,2,3,20,2,13,2,False,3.0,False,divorced,26,3,,20.0,1
204,281,205,sales,sales representative,2,3,7,4,5,3,,4.0,False,,6,2,marketing,13.0,2
205,284,252,research & development,research scientist,1,3,8,1,6,5,,3.0,False,,14,3,,8.0,1
206,285,258,,healthcare representative,4,3,7,1,0,6,False,3.0,False,single,3,3,,,3
207,286,260,,research scientist,1,3,7,0,3,2,False,3.0,False,single,9,3,medical,,1
208,287,267,,research scientist,1,4,8,1,7,3,,3.0,False,,21,3,life sciences,,1
209,289,275,,manufacturing director,2,3,7,1,7,0,False,3.0,False,divorced,18,4,,7.0,1
210,290,293,,sales executive,2,3,7,0,7,2,False,3.0,False,single,20,3,life sciences,7.0,1
211,291,302,sales,sales executive,3,2,19,12,8,2,True,3.0,False,single,6,3,medical,23.0,6
212,292,314,,sales executive,3,3,10,0,8,3,True,3.0,False,single,1,3,,10.0,1
213,294,329,,manager,5,2,33,15,12,2,True,3.0,False,,2,4,life sciences,33.0,1
214,296,361,sales,sales executive,2,2,8,7,5,0,True,3.0,False,,2,2,life sciences,13.0,3
215,297,363,,manager,4,1,7,7,7,2,False,3.0,False,married,27,3,,28.0,3
216,299,376,,manager,3,3,10,9,9,2,,3.0,True,married,10,4,life sciences,,1
217,300,381,,manager,3,4,7,6,2,6,False,,False,divorced,22,3,life sciences,10.0,7
218,301,388,,sales executive,2,3,10,0,9,3,,3.0,False,single,2,2,,,1
219,302,389,research & development,laboratory technician,2,3,10,0,8,4,,,False,married,20,2,technical degree,12.0,3
220,303,401,,sales executive,2,2,8,7,4,0,True,3.0,True,single,45,4,,,1
221,304,416,,sales executive,2,4,8,7,7,3,True,3.0,False,,7,3,technical degree,10.0,4
222,305,430,,laboratory technician,1,3,8,1,7,5,True,3.0,False,,10,4,life sciences,,0
223,306,438,,sales executive,2,3,7,1,7,3,,3.0,False,,13,3,marketing,13.0,4
224,308,446,,sales executive,2,2,7,0,1,6,False,3.0,False,,10,3,,,3
225,309,448,research & development,laboratory technician,2,2,9,0,0,3,False,,False,divorced,10,4,life sciences,9.0,1
226,310,454,,laboratory technician,1,1,7,0,7,4,False,3.0,True,,8,4,,7.0,1
227,311,458,sales,sales executive,2,3,8,0,7,3,False,3.0,False,,8,4,,8.0,1
228,314,476,,sales executive,2,3,8,7,7,3,,3.0,False,,1,3,,,1
229,315,483,,laboratory technician,1,4,7,1,7,3,,3.0,False,married,10,4,life sciences,,3
230,316,488,,sales executive,2,3,8,7,7,5,False,3.0,True,,4,3,,8.0,1
231,317,500,,sales executive,2,3,7,0,7,2,True,3.0,False,,14,2,,18.0,4
232,320,534,sales,sales executive,3,4,10,0,7,2,True,3.0,False,married,1,3,marketing,10.0,1
233,323,586,,healthcare representative,3,3,8,0,0,2,False,3.0,False,,16,3,life sciences,10.0,4
234,324,595,,sales executive,2,3,9,6,7,2,,3.0,False,married,2,5,,14.0,2
235,326,608,,human resources,1,3,7,1,0,2,,3.0,True,,17,4,life sciences,8.0,0
236,327,616,,healthcare representative,2,2,8,0,7,3,True,3.0,False,single,2,4,other,10.0,2
237,328,621,,sales executive,2,4,10,5,7,3,,3.0,False,single,21,4,,10.0,1
238,329,653,,sales executive,2,4,7,5,7,4,True,4.0,False,divorced,6,4,medical,13.0,4
239,330,663,,laboratory technician,2,3,8,4,7,3,False,3.0,False,divorced,9,5,,10.0,3
240,331,682,sales,sales executive,2,3,14,8,10,2,False,4.0,False,single,1,1,,18.0,7
241,335,710,research & development,research scientist,1,1,10,2,8,5,True,3.0,False,divorced,1,4,life sciences,10.0,1
242,336,717,,healthcare representative,3,2,8,7,7,3,False,3.0,False,,9,3,medical,9.0,1
243,337,721,,healthcare representative,2,2,20,11,10,4,False,3.0,False,single,2,4,technical degree,20.0,1
244,338,722,,sales executive,2,3,10,0,8,2,True,3.0,False,,10,3,marketing,10.0,1
245,339,724,,healthcare representative,2,4,9,1,8,4,True,3.0,False,,1,4,life sciences,10.0,0
246,340,725,,manufacturing director,3,3,9,0,7,3,False,3.0,False,married,1,2,life sciences,9.0,1
247,342,728,,sales executive,2,3,7,1,7,2,False,3.0,False,single,35,4,marketing,20.0,2
248,343,733,,manufacturing director,3,3,9,1,7,4,True,4.0,False,,10,2,,9.0,1
249,344,734,,manager,5,2,22,2,10,3,False,,False,,1,3,,22.0,1
250,346,742,research & development,research director,3,4,8,0,5,2,False,3.0,False,married,8,3,,10.0,9
251,347,747,,sales executive,2,3,8,7,7,2,,,False,divorced,27,5,marketing,10.0,7
252,348,762,,healthcare representative,4,3,10,1,1,1,False,3.0,False,married,9,3,,30.0,7
253,349,783,,sales representative,2,1,8,3,1,3,True,3.0,False,single,2,2,,9.0,0
254,350,789,,sales executive,3,2,10,0,9,1,False,3.0,False,single,8,4,,10.0,1
255,351,793,,healthcare representative,2,3,8,1,1,3,True,3.0,False,married,27,3,medical,11.0,4
256,352,803,,manufacturing director,2,4,15,4,12,2,,3.0,False,single,2,4,life sciences,17.0,6
257,354,809,,manager,5,3,24,14,9,4,True,3.0,False,,8,3,,24.0,1
258,355,823,,manufacturing director,2,3,9,0,5,2,False,3.0,False,,1,3,other,,0
259,357,842,,sales executive,2,3,9,7,3,3,False,3.0,True,single,2,1,medical,,4
260,360,913,,research scientist,1,3,8,7,1,0,True,3.0,False,,9,2,,8.0,1
261,361,927,research & development,laboratory technician,1,1,7,1,0,1,,3.0,True,divorced,2,4,life sciences,,4
262,362,941,,sales representative,1,2,7,5,2,2,False,,False,,7,4,,,3
263,363,956,sales,sales executive,2,2,7,0,7,2,True,3.0,False,,28,3,medical,,1
264,365,966,,manufacturing director,2,3,8,6,3,2,False,3.0,False,married,3,4,medical,8.0,1
265,366,967,,sales executive,3,2,16,3,7,6,False,,True,married,3,1,life sciences,,1
266,367,972,,laboratory technician,2,3,9,0,8,5,True,3.0,False,,47,2,,,1
267,369,990,,sales executive,2,3,7,0,7,3,True,,False,divorced,8,4,technical degree,12.0,4
268,371,1013,,manufacturing director,3,3,10,0,8,2,,,False,,17,3,technical degree,22.0,8
269,372,1015,,research director,3,4,8,1,7,4,,3.0,False,,8,2,,,0
270,373,1018,,manufacturing director,2,4,8,1,3,2,False,3.0,False,married,2,2,medical,,1
271,374,1034,,healthcare representative,2,3,8,6,7,3,True,3.0,False,married,18,4,medical,,3
272,376,1046,,laboratory technician,1,3,8,7,7,2,True,3.0,False,single,29,4,,10.0,9
273,377,1050,,sales executive,3,2,15,6,12,2,True,3.0,False,,2,3,marketing,30.0,2
274,379,1074,,manager,4,2,9,6,2,3,,3.0,False,single,2,1,,,7
275,380,1082,,healthcare representative,3,2,10,1,9,2,False,3.0,True,single,24,2,,10.0,1
276,381,1097,,research scientist,2,3,8,1,7,4,True,3.0,False,single,10,3,other,,3
277,382,1100,,sales executive,3,3,8,4,7,2,True,4.0,True,,4,3,technical degree,9.0,0
278,383,1101,research & development,research scientist,2,2,13,3,8,4,True,4.0,True,single,36,4,medical,14.0,1
279,384,1106,research & development,laboratory technician,1,3,7,5,6,3,True,,True,married,4,1,technical degree,7.0,1
280,385,1119,sales,sales executive,3,2,8,2,7,2,,3.0,False,,10,4,,9.0,0
281,387,1126,,manufacturing director,3,3,8,0,1,1,False,3.0,False,married,27,3,life sciences,18.0,8
282,389,1128,,research director,5,2,20,4,9,2,True,,False,,14,3,,,1
283,392,1177,,laboratory technician,1,4,8,0,7,2,,4.0,False,,3,4,,8.0,1
284,393,1182,,manufacturing director,3,2,7,6,4,2,True,3.0,False,divorced,2,3,,15.0,2
285,394,1201,research & development,manager,5,3,7,4,7,6,False,3.0,False,divorced,7,2,medical,26.0,3
286,395,1218,,sales executive,2,3,7,1,7,2,True,3.0,False,,17,4,life sciences,15.0,3
287,396,1220,,sales executive,2,3,10,0,1,3,True,3.0,False,,25,3,medical,,1
288,398,1224,,laboratory technician,2,3,10,8,9,4,,,False,divorced,7,4,life sciences,,1
289,400,1235,,research scientist,2,3,8,0,7,2,False,3.0,False,single,2,2,life sciences,10.0,4
290,401,1237,,manufacturing director,3,1,7,7,7,2,True,4.0,False,divorced,1,3,technical degree,17.0,2
291,403,1255,research & development,research director,5,1,8,0,7,2,True,3.0,False,,3,3,life sciences,,3
292,404,1264,,research director,4,2,7,1,7,2,,3.0,False,divorced,1,3,,9.0,3
293,405,1283,,manufacturing director,3,3,9,5,4,6,False,3.0,False,single,24,4,,,6
294,406,1293,,sales executive,3,2,21,15,17,3,True,3.0,False,single,4,4,marketing,23.0,3
295,407,1295,,healthcare representative,3,3,10,0,5,2,True,3.0,True,married,15,3,medical,,1
296,412,1322,,manufacturing director,2,3,8,1,7,6,,3.0,False,single,33,2,,,0
297,413,1344,,healthcare representative,3,3,9,1,6,0,,,False,,9,3,,10.0,0
